Event Name,Description,Start,End,Location,City,Event URL,Full_Description,organizer_link-href
Kick-start business sustainability with Celemi Sustainability™ - Demo,"Join us for a demo of CELEMI Sustainability™, a powerful tool that we use to help businesses kick-start their sustainability transformation.","July 19, 2023, 3:00 AM","July 19, 2023, 4:00 AM",Online,NYC,https://www.eventbrite.at/e/kick-start-business-sustainability-with-celemi-sustainabilitytm-demo-tickets-665127212397,"Join us for a 60-minute webinar to experience how make SHIFT happen is helping businesses tackle today's sustainability challenges with a fun, interactive, gamified approach that provokes thought, conversation and action.We'll demonstrate how a world-class simulation can bring the thorny topic of sustainability to life and get people across your business engaged and involved.We look forward to meeting you there.",https://www.eventbrite.at/o/make-shift-happen-62677048513
The Sustainability Show Manchester,"2 FREE days of planet friendly talks, workshops, food, drink and an expertly curated ethical marketplace. Learn, enjoy & take action!","Jul 8, 2023, 09:00 AM","Jul 9, 2023, 06:00 PM",Manchester Central Convention Complex,NYC,https://www.eventbrite.co.uk/e/the-sustainability-show-manchester-tickets-523717391817,"The Sustainability Show is the UK’s first large scale consumer show aimed at helping you tackle the Climate Crisis. It kicks off this year in Manchester - and it's FREE.H﻿ead down to Manchester Central for a weekend packed with sustainable ideas, brands and eco-pioneers - all in one place.We all want to help the planet but often get overwhelmed, and that's where The Sustainability Show steps in with the best brands, products, services, tips, hacks and more.S﻿upercharge your impact, more easily. Switch to the most sustainanble options, confidentially.S﻿hop guilt free with total ease, total trust and total delight.This packed, fun show helps you cut down the noise, understand the most eco-friendly things to do and inspires you to take action at home.What’s on...W﻿e're SO excited to welcome Hamza Yassin (cameraman and Strictly winner) to our main stage on Saturday 9 July for a keynote talk and a meet and greet session. Low waste chef and author, Max La Manna on Sunday 9 July, Max will be doing a talk, cooking demo and book signing.Your free ticket gets you entry to our exclusive live debate with Manchester Mayor Andy Burnham, Metro Mayor of Liverpool Steve Rotherham and the North West Youth Council about the future of renewables at 9.30am, Sat 8 July - come down early and have your say! We want you to come down and share your thoughts.P﻿lus the first 50 people through the doors on Sat 8 July for the debate get a free goodie bag worth £60.T﻿esla will be operating a test drive track to try out their latest EV cars - book your free slot via our Link in Bio on our Instagram.P﻿ick up expert tips and tricks at our panel talks on how to reduce the impact of your outfit, how to use your voice for environmental causes and how to eat good food that helps the planet. Here’s what you can find at the Sustainability Show at Manchester Central…Pick up realistic and actionable tips and tricks from our sustainable expertsBe inspired by and meet vegan chefs, sustainable authors and conservationistsGet up close and personal with the UK’s best eco-friendly brandsLearn how to be a savvy, circular consumerShop our exclusive secondhand fashion storeDrop in to our hands on workshops focusing on repair, upcycling, mending and makingJoin us for free daily mindfulness sessionsKids will love our drop in eco crafts and seed planting workshopsMeet other conscious people at our collaboration with People, Planet, Pint in a nearby pub from 6pm on Saturday 8 JulyAll of our tickets this year are FREE but they are limited. Grab your space today!U﻿nder 5s do not need a ticket. Assistance dogs only.",https://www.eventbrite.co.uk/o/frontier-events-14731017319
Heroes of the Harbor 2023,"Heroes of the Harbor celebrates maritime leadership in the business, nonprofit, and corporate sectors. Individuals who have contributed to the vibrancy, sustainability, economy, education, and awareness of the New York-New Jersey harbor, its port, and the metropolitan area are honored annually by the Waterfront Alliance.","October 19, 2023, 6:00 PM","October 19, 2023, 10:00 PM","Hyatt Regency Jersey City, 2 Exchange Place Jersey City, NJ 07302",NYC,https://www.eventbrite.com/e/heroes-of-the-harbor-2023-tickets-648997788857,"Heroes of the Harbor celebrates maritime leadership in the business, nonprofit, and corporate sectors. Individuals who have contributed to the vibrancy, sustainability, economy, education, and awareness of the New York-New Jersey harbor, its port, and the metropolitan area are honored annually by the Waterfront Alliance. The event elevates the importance of our waterways, port, and coastlines to decision makers, influencers, and municipal and state leadership.We are excited to share a wonderful night of celebration with you on October 19, 2023 recognizing our honorees and 16 years of outstanding progress as a leadership organization.This year, we honor: Diego Aponte, Group President, Mediterranean Shipping CompanyLillian C. Borrone, Assistant Executive Director (Retired), The Port Authority of NY & NJCapt. Zeita Merchant, Commander, Sector New York and Captain of the Port, U.S. Coast GuardJoseph Seebode, Deputy District Engineer and Chief of Programs and Project Management, U.S. Army Corps of Engineers, New York DistrictClick here to see complete information on the sponsor opportunities.",https://www.eventbrite.com/o/waterfront-alliance-1852377507
AbleveR Resilience Through Trauma Weekend Conference,ABLEVER RESILIENCE THROUGH TRAUMA WEEKEND CONFERENCE AUGUST 4TH 5TH AND 6TH WORKSHOPS | MARATHON | GALA,"August 4, 2023, 10:00 AM","August 6, 2023, 11:00 PM","130 Central Road New York, NY 10035",NYC,https://www.eventbrite.com/e/ablever-resilience-through-trauma-weekend-conference-registration-529827427097,"Our workshops will be divided into micro information panel discussions conducted by Spiritual Leaders from all walks of life,  Industry Experts, Program Coordinators, and Community Resources Partners. The focus will be on trauma rehabilitation for anxiety depression and addictive behaviors disordersRun for Resilience help support groups gain helpful resources they need to assist victims of trauma induced anxiety, depression and or addictive behavior disorder sponsor a resilience runner or join todayAblevers annual light the way Gala is a night of celebration fun and gratitude.. Join us as we bring together indvisuals and professional who work tirelessly in their effort to establish a better world for all starting with  the light that shines from within each individual. We are proud to give Honore to those who make it possible for others to find the  their light within and cultivate them to shine threw the darkness of trauma.. Ablevers Light The way to Resilience...",https://www.eventbrite.com/o/ablever-inc-59388488613
Creating Tools from Trees,"Learn how trees are transformed into everyday tools and functional art in this workshop with artist and woodworker, Mark Andreas.","July 16, 2023, 2:00 PM","July 16, 2023, 5:00 PM","Rockefeller State Park Preserve, 125 Phelps Way Pleasantville, NY 10570",NYC,https://www.eventbrite.com/e/creating-tools-from-trees-tickets-651102784957,"Learn how trees are transformed into everyday tools and functional art in this workshop with artist and woodworker, Mark Andreas. We will begin by exploring the forest to better understand the qualities and uses of individual tree species. Mark will then demonstrate how to work with hand tools such as a chisel, gouge, hand saw, and hatchet as he fashions a wooden spoon from raw material collected at the Preserve. Meet in the Visitor’s Center courtyard. Wear sun protection, bring water to drink and wear comfortable closed-toed shoes. Long pants tucked into your socks are recommended to prevent exposure to ticks and poison ivy. Max: 20 peopleRain date: July 30Photo courtesy of Mark Andreas
To learn more about Mark and his work, visit his websites: studioandreaswoodworking.com and reactivesculpture.com",https://www.eventbrite.com/o/rockefeller-state-park-preserve-15245742348
"FABSCRAP BKLYN Volunteer: Wednesday July 5th, PM session"," FABSCRAP needs your help to save designer textiles from landfills! It's easy, fun, and a safe way to actively help save our Earth!"," July 5, 2023, 1:00 PM"," July 5, 2023, 4:00 PM"," Brooklyn Army Terminal, 140 58th Street Building B, Unit 5H-4 Brooklyn, NY 11220",NYC,https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-wednesday-july-5th-pm-session-tickets-661652970847,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!*﻿*Important: unfortunately we do not have air conditioning in our warehouse space. However, we do have open windows for fresh air and fans going throughout the session. We encourage volunteers to bring water with them. Please take this into account when you are registering for sessions during these summer months.**---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!",https://www.eventbrite.com/o/fabscrap-12736454433
Farm Community Volunteer Days 2023,Join the QBG Farm team to learn gardening basics and to grow and harvest produce that will be distributed to food pantries,"July 5, 2023, 9:30am","July 5, 2023, 12pm",Queens Botanical Garden,NYC,https://www.eventbrite.com/e/farm-community-volunteer-days-2023-registration-668416520807,"Help prepare the QBG Farm to grow produce that we distribute to food pantries in supporting our communities with food relief. Join QBG's Farm staff for an engaging, educational event where you will learn gardening basics and work hands-on with plants. Make new friends and put your green thumb to good use in a variety of seasonal projects. Depending on the season and need, garden activities might include raking, mulching, weeding, planting, garden bed maintenance, pruning, harvesting, and more. Volunteers learn how to foster a farm ecosystem and grow healthy crops! This is an outdoor event, please dress for the weather, wear sunscreen, bring water or snacks, and dress comfortably. QBG staff will provide gloves. FREE. Registration required.Takes place every Tuesday and Wednesday April through September 9:30am to 12pm. Individuals welcome to register. All volunteers must register on Eventbrite. To arrange for a separate large, private, or corporate volunteer opportunity, please email volunteer@queensbotanical.org.FREQUENTLY ASKED QUESTIONSIs there an age requirement?Recommended for participants 18 years of age or older. (if are 15-17 years old you may attend with a chaperone).Can I only come for one hour or part of the day?Due to limited space, we encourage volunteers to stay for the entire time. If you need to leave early, please speak with the staff member you are working with so they can plan accordingly. Please let us know if you cannot attend a workday as soon as possible, and no later than 7 days before the workday, so someone else may take your spot. Volunteers who miss more than 2 scheduled shifts will have future registrations removed. Where do I go once I get to the garden? What time should I arrive?QBG Farm volunteers should meet at #30 ""QBG Farm"" on the map located at both Garden entrances. Please allow 10 minutes to walk from the Main Gate to the Farm, or 5 minutes to walk from the Parking Garden.Do I need to know any skills ahead of time? How physical is the work?We welcome all skill levels to participate--you do not need to know anything prior to coming. You will be trained in safety and skills for each session. We try to accommodate all levels of experience, however participants must be able to do physical work including bending over, heavy lifting 20+ pounds, performing diverse, sometimes repetitive tasks, and standing, walking, or squatting for long periods of time.What are my transportation and parking options getting to the Garden?Please park in our Parking Garden lot. You do not have to pay for parking or admission. Tell the attendant your name and that you are here to volunteer. Parking is available year-round during Garden open hours at the Parking Garden, located at 42-80 Crommelin Street, Flushing, NY 11355. By public transportation, take the number 7 subway line to Main Street, the Long Island Rail Road (Port Washington line) to Main Street/Flushing, or the Q44-SBS or Q20 bus.For driving directions and more information: https://queensbotanical.org/directionsWhat should I bring?Please wear weather appropriate clothing that you don't mind getting dirty--sun hats and sunscreen if it's hot or layers if it's cold, and don't forget sturdy close-toed shoes.  We highly advise wearing waterproof shoes. Bring a water bottle and snack if you'd like. We have gardening gloves and water available for anyone who does not bring their own. What happens if the weather is bad?We work outside rain or shine. In very inclement weather, you will be notified of a cancelled or rescheduled volunteer date. KNOW BEFORE YOU GOHEALTH & SAFETYTo prevent the spread of COVID-19 and for the health and safety of all visitors, follow our current health & safety guidelines, found on our website: https://queensbotanical.org/know-before-you-goRestrooms are accessible by the ramp next to the Visitor & Administration Building. Please follow on-site instructions on how to enter restrooms.CANCELLATIONSIn the case that an event is cancelled, you will be notified via email.COMMUNICATIONSBy purchasing tickets and attending QBG events, you hereby opt in to receiving communications from the Garden. You may receive updates about future QBG events and news through the addresses you provide. If you do not wish to receive future communication, simply click the “unsubscribe” button at the bottom of an email or write to info@queensbotanical.org.GARDEN ETIQUETTEQBG staff strives to provide a place of peace, beauty, and safety for the quiet enjoyment of our visitors. QBG is a living museum, a collection of gardens for the study, culture, exhibition, and display of plants. We encourage our visitors to explore, enjoy, and be respectful of our plant collections and to be considerate of fellow guests as well. For more guidelines on garden etiquette: https://queensbotanical.org/know-before-you-go/PHOTOGRAPHY & VIDEOGRAPHYQueens Botanical Garden (QBG) occasionally photographs or films visitors and activities on site to support our mission in promotional media and materials, including print, online, broadcast, and social media. By attending this event, you grant permission to QBG use your likeness in perpetuity, in all forms of print and digital media used to promote, publicize, or advertise the Garden, its activities, and programs. If you do not give QBG permission to take and use your image, you must notify an event organizer or staff when you arrive for this event. QBG is a 501(c)(3) non-profit organization.ABOUT QBGQBG is an urban oasis where people, plants and cultures are celebrated through inspiring gardens, innovative educational programs and real-world applications of environmental stewardship. QBG is located on property owned by the City of New York, and its operation is made possible in part by public funds provided through the New York City Department of Cultural Affairs, Queens Borough President, the New York City Council, State elected officials, the New York State Department of Parks, Recreation and Historic Preservation, along with corporate, foundation, and individual supporters. For more information, visit www.queensbotanical.org or call (718) 886-3800.",https://www.eventbrite.com/o/queens-botanical-garden-6259295495
AVANT-GARDEN FASHION SHOW & MARKET, Highlighting designers and retailers trailblazing sustainable fashion," August 26, 2023, 12:00 PM"," August 26, 2023, 10:00 PM"," Bohemian Beer Garden & The Prague Room, 29-19 24th Avenue Queens, NY 11105",NYC,https://www.eventbrite.com/e/avant-garden-fashion-show-market-tickets-655386196757,"Join us for an all day extravaganza to spotlight sustainability and creativity at Bohemian Hall & Beer Garden. The event will include a vintage, thrift, upcycled, and eco-friendly fashion market filled with vendors in the sustainable fashion space open from 12PM - 10PM in the Main Hall.  We call it avant-garden for a reason. In the Garden we will have three shows throughout the day including musical performances, guest speakers, and art installations. E﻿ach ticket includes priority entry to the event, one drink of select beer and wine, and a sustainable keepsake to take home. Consider an all day VIP ticket for an up front view of our shows throughout the day.Live music, shopping, food, and drinks all day. Come celebrate and be a part of a movement for ecological living, creative arts, and community.",https://www.eventbrite.com/o/thirty-one-oaks-66219110593
Start Your Own Fair Trade Fashion Brand,Join Prof. Reyes for a 4 part business plan writing course. Already started? Re-evaluate and plan your next steps.,"July 10, 2023, 3:00 PM","July 10, 2023, 6:00 PM","Kent State University, 315 West 39th Street #STE 402 New York, NY 10018",NYC,https://www.eventbrite.com/e/start-your-own-fair-trade-fashion-brand-tickets-646990745737,"Back for a summer edition, join Prof. Andrea Reyes for a 4 party business writing and/or re-writing course.Class 1: Business Plans 101 + Target Market Analysis - Learn the key components of a busienss plan, why they are important, and what function they serve. Learn what the difference is between a consumer and a customer? Class 2: Marketing & Branding - Analyze where your time, effort and energy is best put forth. Evaluate your current branding and see if it is consistent across all platforms.Class 3: Distribution & Best Sellers - Learn different points of sales and how to test and promote a best seller.Class 4: Pricing & Financial Planning - The true story is in the numbers. Learn how to set up important financial documents and if your mark ups are covering your expenses.Each class can stand alone. Purchase the full package and recieve 25% off. Members use promo code for 50% off course.About the instructor:Andrea Reyes is a fair trade advocate, educator, and sustainable fashion matchmaker. She is the Chairwoman of the NYC Fair Trade Coalition, a network of small ethical business owners and advocates. She runs the Sustainable Fashion Community Center, a space located in East Harlem which welcomes the public to swap, pop, and drop-in to check out their clothing swap and fair trade gift shop. She is also the founder of A. Bernadette, a sustainable fashion mentorship firm which aims to educate and incubate businesses to include more sustainable practices into their business activities. Lastly, she is an educator and author having taught at Pace University, Baruch College, FIT, and currently teaches at LIM College. She is a published author through Bloomsbury Publishing, ""Apparel Costing.""",https://www.eventbrite.com/o/nyc-fair-trade-coalition-12061358612
Tree+Oyster,"An interactive installation that aims to cultivate cultural intimacy through intersectional decolonization practices, Tree+Oyster create ritual loops to stoke embodied memory and resist historical erasure.","August 6, 2023, 2:00 PM","August 6, 2023, 5:00 PM","Governors Island, Colonel's Row 404A Hay Rd brooklyn, NY 11231",NYC,https://www.eventbrite.com/e/treeoyster-tickets-667176742597,"An interactive installation that aims to cultivate cultural intimacy through intersectional decolonization practices, Tree+Oyster create ritual loops to stoke embodied memory and resist historical erasure. Through myth making and tool use, they facilitate small groups in building bridges from land to sea, imagining sustainable ecologies.Tree/ Tree.ceo is the performance art and design project of Ana Vásquez, in which she appropriates means of performance marketing to co-create regenerative loops and funnels that supplant cultural erasure. Informed by her practice as an Emergent Strategy facilitator, new media artist, and brand designer, her Dominican background serves as a starting point for stoking Pre-Columbian collective memory. She employs soft power to explore intersectional myth-making and tool-building for lush ecosystems.Jennae “Oyster” Santos is a music and performance artist and Babaylanic student born in the Bay Area (Ohlone territory) and based in Brooklyn (Lenapehoking territory), with ancestral roots across the Philippines archipelago. In infinite collaborative incarnations, she helms progressive art rock project gushes— songwriting and composition rooted in rhythmic guitar loops and ritualized theatre with a stylistic range encompassing chamber rock ensemble, experimental drone, movement cycle, sound sculpture, and more. Santos’ work is influenced by Indigenous Filipino psychology, Kali as a decolonized combat art, the feminist occult, plant medicine and ecology, BIPOC land revolution movements, genderqueer fluidity, and pleasure autonomy.With the aim to cultivate space for collective trust and shared dreaming, Tree+Oyster arrive with non verbal communication and play to shed anthropocentric perspective and facilitate opportunities for emergent ritual.Tree+Oyster merge archipelagic Indigenous mythologies from the Dominican Republic and the Philippines in order to stoke memory, resist erasure, and generate new mythologies. We are curious to discover cross-cultural parallels in land-water relationship between Indigenous communities and our own personal decolonization research. We engage in immersive research deepening our relationship to land and community. From this foundation, we facilitate creative gatherings bridging inner and outer ecologies — a practice in tuning our personal, communal, and digital relationship to the landscape.Site-specific gatherings consist of co-creation exercises and games, sensorial ceremonies, body mapping, collective altar building, and musical forest jams. Seasonal elements, i.e. sand, snow, and vegetation, inform the location and structure of interactive installations. These onsite activations create a generative mediated space for communal storytelling.Rooted in the study of Indigenous histories, local-to-global community, and ecology, Tree+Oyster aims to build a cross-cultural campfire generating warmth, in empathetic pursuit of sustainability.",https://www.eventbrite.com/o/flux-factory-66821397293
Goatham Festival: The Return of the Riverside Park Goats,Meet the 2023 Riverside Park goats during the first Goatham Festival!,"July 7, 2023, 11:00 AM","July 7, 2023, 2:00 PM","95th Street Compost Compound, 95th Street Compost Compound Accessible via the 96th Street Clay Courts New York, NY 10025",NYC,https://www.eventbrite.com/e/goatham-festival-the-return-of-the-riverside-park-goats-tickets-662997081117,"Mark your calendars for a new kind of Goatham experience: Friday, July 7, 11am - 2pm at the new 95th Street Compost CompoundThis year, the herd is making a pit stop on the way to their summer home in the woods between 119th and 122nd Streets.Join us for a special Goatham festival on July 7 where our four goats — Cowgirl, Chico, Charlie, and Mallomar — will be the esteemed guests of honor at a ""ribbon chewing"" ceremony for our brand-new Compost Compound at 95th Street. The festival will feature local vendor booths, live music, goat-themed merchandise, photo opportunities, arts and crafts, and educational activities for all ages.Fearless in the face of challenging terrain and with an appetite for devouring poison ivy, our goats are part of a 5-year plan to clear a steep slope of invasives and replant it with native, ecologically desirable species.As they return for their 4th summer on the job, our goats eager to embrace new roles as am-baaaa-ssadors for all of the sustainability initiatives in Riverside Park, starting with our compost initiative. Join us on July 7 to wish them luck -- and to help us kick off a new hoof-to-hoof competition to see who will be this year’s GOAT!",https://www.eventbrite.com/o/riverside-park-conservancy-52521946943
9/23 Climate Action Workshop with Vienna Teng @ Joe's Pub,"Discover what enjoyable, meaningful climate action looks like for you - and fellow music fans - with songwriter/climate activist Vienna Teng","Saturday, September 23, 2023, 3:30 - 5:30pm","Saturday, September 23, 2023, 5:30pm","Joe's Pub, 425 Lafayette Street, New York, NY 10003",NYC,https://www.eventbrite.com/e/923-climate-action-workshop-with-vienna-teng-joes-pub-tickets-648602005057,"Are you ready to do more about climate change, but feel a bit overwhelmed? Wish you knew where to put your limited time & energy? This workshop might be for you.Drawing on her recent years working in environmental sustainability, Vienna will help you discover what enjoyable, meaningful climate action looks like for you personally, tailored to your unique circumstances, interests, and superpowers. You'll get to know some fellow music lovers taking their own similar journeys, and you’ll come away with practical first steps to actually make it happen. (Plus there might be a bonus music moment or two.)The workshop will run for 2 hours and will be capped at 20 participants, to make sure each person gets ample support.",https://www.eventbrite.com/o/vienna-teng-61037159083
Grain de Sail x Estuary - Chef's dinner in Brooklyn Heights,"Embark on a unique dinner experience at Estuary, in Brooklyn Height","Sunday, July 9, 2023, 7:00 PM","Sunday, July 9, 2023, 11:00 PM","Estuary at ONE°15 Brooklyn Marina, 159 Bridge Park Drive Brooklyn, NY 11201",NYC,https://www.eventbrite.com/e/grain-de-sail-x-estuary-chefs-dinner-in-brooklyn-heights-tickets-649192390917,"G﻿rain de Sail and Estuary are teaming up again for a unique wine tasting dinner experience, by the marina of Brooklyn Heights, overlooking the Manhattan skyline. This experiential dinner not only features a 4 course meal paired with organic french wines from Alsace, Loire Valley and Burgundy, but also a proper introduction to these wines and domains by our in-house Grain de Sail sommelier, Pierre. Guests will have the opportunity to purchase the wines they tried at special event prices : what a better way to stack up for the summer season on delicious wines that you know about ?What's included :4﻿ course meal :  amuse-bouche, starter, entree & dessert (vegetrian options can be requested)4﻿ glasses of wine : sparkling, white and red (see list below)Explanation of the wines served -region, domain, vinification process, and pairing adviceAn exclusive right to purchase the wines tasted at special prices (event participants only)P﻿rice : $﻿150**﻿price is without tips.I﻿f you have any question prior to the event, do not hesitate to reach out to the organizing crew at contactusa@graindesail.com.W﻿e look forward to seing you for this extraordinary dinner !E﻿stuary and Grain de Sail team.L﻿earn more about grain de sail unique sustainable adventure and wines : www.graindesailwines.com",https://www.eventbrite.com/o/grain-de-sail-32025483041
Spatial Data Science Conference New York 2023,"The Spatial Data Science Conference is the first event to bring together Data Science, Advanced Analytics and GIS experts.","Oct 19, 2023, 08:30 AM","Oct 19, 2023, 05:00 PM","Columbia University - Lerner Auditorium, 2920 Broadway New York, NY 10027",NYC,https://www.eventbrite.co.uk/e/spatial-data-science-conference-new-york-2023-tickets-654768228397,"#SDSC23 New York will demonstrate how the future of Data Science and GIS resolves around Spatial Analysis.The conference will feature a series of keynote presentations and workshops that cover cutting-edge techniques in spatial modeling, machine learning, alternative data streams, spatial statistics, the role of geospatial in sustainability & much more. Your ticket includes:Access to the world's leading spatial Data Science conferenceA  welcome pack Coffee, snacks, and lunch throughout the dayA pass to our exclusive VIP after-party!Includes access to our pre-conference workshops, but participants must register for the workshops separately. Once you make your order, you will receive instructions on how to do so.If you are from a non-profit organization  or are a student please drop us an email at info@spatial-data-science-conference.com  and for media inquires contact us here: media@spatial-data-science-conference.com .",https://www.eventbrite.co.uk/o/carto-29024284689
