Event Name,Description,Start,End,Location,City,Event URL,organizer_link-href,full_description,Full_description
Extreme Hangout Soho,Join us as we hear from young people about their experiences working in the climate movement across different industries.,"Sun, 9 Jul 2023 13:00","Sun, 9 Jul 2023 17:00","25 Soho Square, London W1D 3QR United Kingdom",London,https://www.eventbrite.co.uk/e/extreme-hangout-soho-tickets-661596973357,https://www.eventbrite.co.uk/o/future-leaders-network-9844768338,"Learn firsthand from youth leaders in the climate movement how you can begin your own career in sustainability, as well as connecting with other young people keen to tackle the climate crisis.We have brought together a panel of speakers from an array of sectors to discuss the different career pathways there are within sustainability, and what they’ve learned from pursuing their careers.SpeakersJodi-Ann Wang; covering climate finance, Jodi-Ann is a climate specialist at the UN's IPRJack Johnson; speaking on communications, Jack is the co-founder of think tank Climate VanguardSylver Eulalee Mair; representing slow fashion, Sylver is a fashion show coordinator and student at CSMJoe Davies; covering diplomacy and international relations, Joe is the Climate Diplomacy Desk Officer for the FCDOThe panel will be preceded by a spoken word performance by Words of Meraki and will be followed by a Q&A, as well as an exciting appearance from the Running Out of Time Relay, who will be passing their baton here in their race to net zero.Plus, stick around til the end for a raffle full of eco-friendly prizes!Run Times1-1:45 pm: Mingling and refreshments1﻿:45-2 pm: Spoken word by Words of Meraki2-3:30 pm: Panel and Q&A3:30-4 pm: Baton appearance from the Running Out of Time Relay4-5 pm: More mingling and the raffleWhat is an Extreme Hangout?EXTREME is a purpose-driven adventure sports and entertainment company, with a vision to drive positive change through their events.They established the Extreme Hangout as a climate action events platform in 2021. First launched at COP26 in Glasgow, then taken to COP27 in Egypt, the Extreme Hangout is now going global with 50 local partners and and another flagship event at COP28 in Dubai.What is the Running Out of Time Relay?This is a huge relay that sees runners cover 50 towns and cities in the UK, passing the baton from Ben Nevis to Big Ben, to inspire collective action towards net zero.Along the route they will showcase amazing people and places that are leading the way in reducing emissions and the race to net zero, as well as cover breathtaking natural landscapes and inspiring projects that are tackling the biodiversity crisis.Your HostsCharlie Bevis - Charlie is a trainee energy and environmental lawyer and is passionate about all areas of climate policy, with an emphasis on a just transition. Outside of work, he represents young people in the UK as the Head delegate and Climate change delegate to the Y20, where he is lobbying G20 governments to accept the ambitious climate proposals being demanded by young people around the world. Prior to this he has led NGO ClimaTalk’s COP team at COP26 and 27, using his position to advocate for full youth participation.Issy Cooper - Issy is a growth marketer, using data and digital media to help environmental organisations maximise their reach and impact. She works with Ocean Bottle, an ocean impact company on a mission to support global waste management infrastructure and stop the flow of plastic into our ocean; and with Just Stop Oil, a clean energy advocacy group campaigning against oil, gas, and coal projects in the UK.Future Leaders Network (FLN) - Future Leaders Network is a not-for-profit organisation aimed at discovering and developing the next generation of social, political, and economic leaders. We are revolutionising the leadership development landscape, by equipping young people with the leadership experience, skills, and network they need to deliver positive change in the world. We make a difference today with the leaders of tomorrow.",
Mash to Glass: Mastering the Brew. From water chemistry to sustainability,A day of boosting and refreshing current brewing knowledge.,"Thu, 13 Jul 2023 09:00 AM","Thu, 13 Jul 2023 06:00 PM",3 Locks Brewing Company Arch S14/15 Hawley Wharf London NW1 8NX United Kingdom,London,https://www.eventbrite.co.uk/e/mash-to-glass-mastering-the-brew-from-water-chemistry-to-sustainability-tickets-654950383227,https://www.eventbrite.co.uk/o/murphy-amp-son-ltd-24811391433,"We are excited to introduce our first Murphy's London Training event of 2023. Massive thank you to  3 Locks Brewery who have kindly offered to host at their site.   “Mash to Glass: Mastering the Brew. From water chemistry to sustainability and everything in between.”will take place on Thursday the 13th of July 2023.  We will be starting at 9.30am with a brew and biscuit in hand and  finishing at 5pm following with an hour of cheese and beer and the chance to chat through any queries with Steph and Fran. We are delighted to have two guest speakers  joining us from Brew Resourceful and Voltea. Chris Lewington (Brew Resourceful) and Joshua Summers (Voltea). The day will be very relaxed and will give you opportunity for you discuss ""all things brewing"" with other brewers.Refreshments and regular breaks will be offered throughout the day.",
Mirrors or Movers XI - A positive brainprint: a commercial no-brainer?,"Mirrors or Movers is the world's premier conference dedicated to investigating, debating and challenging the impacts of media content on society and the environment. This year marks the eleventh edition.","September 26, 2023, 12:00 PM","September 26, 2023, 6:30 PM",80 Strand London WC2R 0RL United Kingdom,London,https://www.eventbrite.co.uk/e/mirrors-or-movers-xi-a-positive-brainprint-a-commercial-no-brainer-tickets-662343255507,https://www.eventbrite.co.uk/o/responsible-media-forum-13187299410,"Mirrors or Movers is the world's premier conference dedicated to investigating, debating and challenging the impacts of media content on society and the environment. This year marks the eleventh edition.This year’s conference will explore whether a positive brainprint is now a commercial no brainer.  Our range of speakers and discussions will explore how producing content with a positive impact on society is increasingly becoming a commercial imperative.  Amongst our confirmed speakers so far are:Laura Bates, Founder of the Everyday Sexism ProjectF﻿or the full list of speakers, which we will continue updating, please see our website Attended by opinion formers, academics, NGOs and media professionals – including both sustainability professionals and content makers, the conference is free and open to all employees at participating companies and their invited guests. Media will be represented in all its diversity – broadcast, publishing, entertainment, advertising, expos, events, and more.We also have free virtual places available for individuals and organisations from outside of the Responsible Media Forum. If you would like to attend, please sign up via Eventbrite.",
Stockhub Startup Pitch Night: Sustainability Edition (For Fundraisers Only),"Supercharge the growth of your sustainability-focused, early-stage company!","Mon, 31 Jul 2023 18:00","Mon, 31 Jul 2023 21:00","Rise London, 41 Luke Street London EC2A 4DP United Kingdom",London,https://www.eventbrite.co.uk/e/stockhub-startup-pitch-night-sustainability-edition-for-fundraisers-only-registration-658038710497,https://www.eventbrite.co.uk/o/stockhub-36750937283,"Raising funds is one of the best ways to accelerate the growth of a business. For those who are raising for a sustainability-focused, early-stage company, the Stockhub event helps you to raise faster than ever, by providing you with the opportunity to pitch your business to a materially large number of high-quality investors.The guest speaker of this event is Mario Alejandro Rojas, an investor at Octopus Ventures, one of the largest and most active venture capital companies in Europe, with £2 billion assets under management (AUM) and investing more £200 million every year.Other investors who have signed-up to the event include representatives from BlackRock, Invesco and Legal & General.Companies that have previously pitched at a Stockhub event include Vastmindz, which secured £10 million in investment. One of the investors in the company is Steve Wozniak, the co-founder of the world's most valuable company (i.e. Apple, Inc.).Where is the event being held? The event is being held in London at the innovation centre of Barclays, one of the world's biggest banks in terms of AUM ($166 billion as of 27th April 2023).Who is the event for? The event is for anyone who is raising funds for a sustainability-focused, early-stage company.H﻿ere, 'sustainability-focused company' means any company that is focused on meeting the needs of the current generation without compromising the ability of future generations to meet their own needs. 'Early-stage company' is any company that is in the 'introductory' stage of the business lifecycle, which is typically a company that is less than seven years old.What's the structure of the event? You will have 5 minutes to pitch your business, followed by 3 minutes of questions and answers.What's the agenda of the event?18:00 - 18:30: Networking18:30 - 18:45: Guest speaker18:45 - 20:00: Pitching20:00 - 21:30: NetworkingWhat's the main reason for holding this event? Stockhub's mission is to help everyone feel happier than ever.What's the price to pitch at the event? If you're accepted to pitch, the fee to pitch is 1% of the funds raised as a direct result of your participation in the Stockhub Pitch Event.How can I pitch?Given the time and space constraints, the number of available pitching slots is limited (at seven slots), so we suggest that you apply to pitch as soon as is reasonably possible. We will be deciding on a rolling basis until all spots are filled.Other key informationThe event is also brought to you in partnership with Imperial College, one of the world's leading universities.",
Driving Sustainability in Construction,"The construction industry is responsible for over 40% of the worlds annual CO2e, the UK and the CIOB have placed addressing the impact of construction on the environment at the heart of its policies and 5 Year Plan.","Sep 12, 2023, 7:00 PM","Sep 12, 2023, 9:30 PM","Village Hotel, Castle View Forstal Road Maidstone ME14 3AQ United Kingdom",London,https://www.eventbrite.co.uk/e/driving-sustainability-in-construction-tickets-626877125357,https://www.eventbrite.co.uk/o/ciob-maidstone-39936199123,"The construction industry is responsible for over 40% of the worlds annual CO2e, the UK and the CIOB have placed addressing the impact of construction on the environment at the heart of its policies and 5 Year Plan. As construction professionals we have the opportunities to change not just our industry but also the environments in which we live and work, this session  will look at how that can be achieved within the RIBA 2020 framework.  •	Working with clients to set environmental and long term sustainable outcomes in projects, against economic, social and project needs.•	The benefits of transitioning to a sustainable energy solution on construction sites.•	The importance of embedding professional competence at the heart of sustainable initiatives, leading the green thread.This CPD will be provided by Peter Egan FCIOB, Requirements Manager, UK Strategic Command.Members: gain 3 CIOB CPD points when you reflect on the ethical aspects of your learning from this activity.ContactBeverley LawrenceMember Services and Events Coordinator - Maidstone+44 (0) 1344 630861+44 (0) 7827 920601blawrence@ciob.org.uk",
Laboratory: Radical Repair,"Join us at our Clerkenwell studio for fortnightly evening discussions, investigating forms of sustainable practice","July 11, 2023, 18:00 PM","July 11, 2023, 21:00 PM","Jestico + Whiles, 65 Goswell Road London EC1V 7EN United Kingdom",London,https://www.eventbrite.com/e/laboratory-radical-repair-tickets-619405557697,https://www.eventbrite.com/o/jestico-whiles-64355939053,"Laboratory is a new fortnightly free public lecture series, investigating forms of sustainable practiceHosted at Jestico + Whiles’ Clerkenwell studio, the first season of Laboratory brings together a new generation of designers, artists, architects and researchers investigating the future of practice in an era of rapid environmental change. From exploring emerging technologies, construction methods and bio-based materials, to thinking locally through meaningful community collaboration and utilising open source digital platforms, we will discuss how shifting our relationship with material and social resources can help build a more sustainable design and construction industry. Radical RepairLoretta Bosence (Local Works Studio) in conversation with Nick WoodwardLoretta Bosence, landscape architect and co-founder of Local Works Studio, joins to discuss her landscape-led approach to design, using site-based resources and processes to plan, make and repair. The discussion will be hosted by Jestico + Whiles' Nick Woodward, architect and integral member of our Plus Zero team, a research group that investigates how we can become a more sustainable practice.Loretta Bosence (Local Works Studio)Loretta is the Co-Founder of Local Works Studio, taking a landscape-led approach to design, using site-based resources and processes to plan, make and repair. Established in 2017, the studio brings an innovative approach to the design of landscapes and buildings, focusing on the creative and sustainable use of resources. The practice was formed as a partnership between a landscape architect and a building craftsman. Loretta trained in landscape architecture at the University of Greenwich and regularly lectures on architecture and landscape courses in the UK and abroad including: The Bartlett, UCL; University of Greenwich; Central Saint Martins; University of Brighton; EPFL, Switzerland. She has a background in sculpture and photography with masters’ degree from the Slade School of Fine Art.

Nick Woodward (Jestico + Whiles)Nick is an Architect at Jestico +Whiles. He joined the practice last year after completing his studies at the Royal Danish Academy (KADK), and is an integral member of our Plus Zero team, a research group that investigates how we can become a more sustainable practice.Information⏲Timings: P﻿lease arrive from 18.00. Talks will begin at 18.15 with discussions wrapping up by 19.15, followed by drinks! 📍Location: Jestico + Whiles, Sutton Yard, 65 Goswell Road, London, EC1V 7EN💬Tickets: Places are free but limited AccessibilityO﻿ur studio is based on the second floor of Sutton Yard, close to Farringdon (step-free access) station. The building has step-free access and disabled toilets. There will be quiet breakout space provided for anyone who needs to step away from the crowd and discussion. I﻿f you have accessibility requirements, please email rosine.gibbs@jesticowhiles.comLaboratoryN﻿ext up in the series...Thursday 29 June Hidden Voices Shade Abdul, architect and founder of interdisciplinary practice Deft.Space, joins us to discuss her research on participatory action and approach to inclusive regeneration that addresses socio-economic inequality. She is currently collaborating with Jestico + Whiles as part of the Canning Town design team, set to deliver up to1750 homes for Newham Council over the next decade. 🔗 Register here Thursday 13 July Sustainable Neighbourhoods Hani Salih, Researcher at the Quality of Life Foundation, discusses his work as part of the Foundation's vision to create a more sustainable housing system by making health and wellbeing central to the way we create and care for our homes and neighbourhoods. 🔗 Register here",
Stockhub Startup Pitch Night: Sustainability Edition,"Investing in early-stage companies is one of the best ways to supercharge the growth of your money. For those who are looking to invest in sustainability-focused, early-stage companies, the Stockhub event helps you to invest faster than ever, by providing you with access to seven unique investments.","July 31, 2023, 6:00 PM","July 31, 2023, 9:00 PM","Rise London, 41 Luke Street London EC2A 4DP United Kingdom",London,https://www.eventbrite.co.uk/e/stockhub-startup-pitch-night-sustainability-edition-tickets-666213942837,https://www.eventbrite.co.uk/o/stockhub-36750937283,"Investing in early-stage companies is one of the best ways to supercharge the growth of your money. For those who are looking to invest in sustainability-focused, early-stage companies, the Stockhub event helps you to invest faster than ever, by providing you with access to seven unique investments.The guest speaker of this event is Mario Alejandro Rojas, an investor at Octopus Ventures, one of the largest and most active venture capital companies in Europe, with £2 billion assets under management (AUM) and investing more £200 million every year.Where is the event being held? The event is being held in London at the innovation centre of Barclays, one of the world's biggest banks in terms of AUM ($166 billion as of 27th April 2023).What's the agenda of the event? 18:00 - 18:30: Networking18:30 - 18:45: Guest speaker18:45 - 20:00: Pitching20:00 - 21:30: NetworkingWhich are the seven companies pitching? The companies that are pitching are sustainability-focused, early-stage companies.H﻿ere, 'sustainability-focused company' means any company that is focused on meeting the needs of the current generation without compromising the ability of future generations to meet their own needs. 'Early-stage company' is any company that is in the 'introductory' stage of the business lifecycle, which is typically a company that is less than seven years old.Who is the event targeted towards? The event is targeted towards anyone who is interested in investing in sustainability-focused, early-stage companies (and turbocharging the growth of your money).How can I attend? Given the time and space constraints, the number of available tickets is limited (at 100 tickets), so we suggest that you register as soon as is reasonably possible.What's the main reason for holding this event? Stockhub's mission is to help everyone feel happier than ever.Other key informationThe event is also brought to you in partnership with Imperial College, one of the world's leading universities.",
Reuters Events: Net Zero Europe 2023,Build Detailed Transition Plans with Accurate Scope 3 Data,"Wed, 6 Sep 2023 08:00 AM","Thu, 7 Sep 2023 05:00 PM",133 Houndsditch London EC3A 7BX United Kingdom,London,https://www.eventbrite.co.uk/e/reuters-events-net-zero-europe-2023-tickets-636632915187,https://www.eventbrite.co.uk/o/reuters-events-65905943663,"Identify strategies and investments to track and manage Scope 3 data, develop transition plans that stand up to investor scrutiny and provide a roadmap to decarbonise your value chain.Decarbonisation targets and global deadlines loom. Scope 3 emissions remain complex and realistic transition plans that detail how your organisation will reach net zero without sacrificing profit are required by internal and external stakeholders. Uncertainty is clouding net zero ambitions. With high energy costs, lack of clarity around future incentives to decarbonise and widespread anxiety regarding how Scope 3 emissions can be accurately collected, analysed and reduced, companies are struggling to see how they’ll achieve absolute reductions across their operations without making sacrifices.At Net Zero Europe 2023, a part of IMPACT Congress London, we’ll help you identify successful strategies and investments to track and manage Scope 3 data, develop transition plans that stand up to investor scrutiny and provides a roadmap to decarbonise your operations and value chain in a way that balances your need to remain a profitable, competitive business.For more information about the event, visit the official website: https://events.reutersevents.com/sustainable-business/net-zero-europe?utm_source=eventbrite&utm_campaign=5910",
She Is Sustainable: Netwalk in the park,"Join us for a guided stroll around the Queen Elizabeth Olympic Park with Head of Landscapes and Public Realm, Ruth Lin Wong Holmes.","Tue, 22 Aug 2023, 16:30 PM","Tue, 22 Aug 2023, 18:30 PM","Queen Elizabeth Olympic Park, Exact location tbc Stratford London E20 1DY United Kingdom",London,https://www.eventbrite.co.uk/e/she-is-sustainable-netwalk-in-the-park-tickets-673617236287,https://www.eventbrite.co.uk/o/she-is-sustainable-16564450135,"T﻿he Queen Elizabeth Olympic Park is an exemplar of green infrastructure.  Designed to be a haven for biodiversity, providing sustainable urban drainage and helping to tackle the urban heat island effect.T﻿he urban landscaping design and management of the park, overseen by Ruth Lin Wong Holmes in her role as the Head of Landscape and Public Realm at the park. You can find native wildflower meadows, wetlands and parklands, which make this award-winning park so important to wildlife, as well as the enjoyment and sustainability of the park.  Join us on the evening of Tuesday 22nd August from 4.30 for a 5pm start (exact location tbc)  for a guided walk around the park to hear from Ruth about the design and maintenance of the area and what makes it so special from a sustainability perspective, and connect and chat with like-minded women working in sustainability.Y﻿ou'll need to wear footwear suitable for walking, and we recommend bringing a bottle of water (no refreshments provided - but there are bottle refill points in Westfield shopping centre).  We'll finish by 6.30, and you are welcome to stay afterwards for a drink somewhere nearby.T﻿his event is free to attend, but if you want to support the work of She is Sustainable CIC then you can make a small donation to the social enterprise and 'buy us a coffee' at buymeacoffee.com/sheisustainable.About She Is SustainableShe is Sustainable was set up back in 2016, registering as a not-for-profit Community Interest Company in 2022 to create space for women working in sustainability across all sectors to share their stories and reflect on all aspects of women’s work and life.Our unique combination of inspiring content, frank and open campfire discussions and community-building continues to be an important recipe to help women access the resources and peer support to work for our shared sustainable future.",
Ethical Consumer Conference 2023,"Connect with activists, ethical businesses, and others to explore our collective power and the change we can ignite in our communities.","November 9, 2023, 10:00 AM","November 9, 2023, 5:30 PM","Rich Mix, 35-47 Bethnal Green Road London E1 6LA United Kingdom",London,https://www.eventbrite.co.uk/e/ethical-consumer-conference-2023-tickets-656795762807,https://www.eventbrite.co.uk/o/ethical-consumer-4570473921,"What role can consumer activism play in creating thriving communities?Ethical Consumer Week aims to provide a space where we can explore how to empower ourselves and our communities. On Thursday 9th November, we will gather in London at the fantastic Rich Mix, with the chance for attendees to connect with activists, ethical businesses, and others to explore our collective power and the change we can ignite in our communities.For the day we will spotlight inspiring organisations and innovative regenerative approaches that are responding to the challenges that we are facing.Vegan lunch will be provided by Veggies cooperative, please let us know of any dietary requirements or allergies in the notes of your ticket purchase,Sign up now for inspiring discussions, informative talks and exciting workshops, exploring practical ethics in a broken world.The day will include:Workshops on community energy, regenerative economies, sustainable food systemsOpen discussions on the topics that matter to youA Q&A with our Spain Campaign on Challenging Corporate Supply chainsPanels on challenging corporate power and community financeNetworking sessionsStalls from ethical organisations and Best Buy companiesFor more information on our ticket options, you can refer to the FAQ's below or go to our conference website FAQ page.",
"Farnham - People, Planet, Pint: Sustainability Meetup","Come and meet others interested in the Net Zero, Bcorp and Environmental space!","August 30, 2023, 7:00 PM","August 30, 2023, 10:00 PM",The Castle Pub,London,https://www.eventbrite.co.uk/e/farnham-people-planet-pint-sustainability-meetup-tickets-547758760197,https://www.eventbrite.co.uk/o/small99-32771843245,"Whether you're a sustainability professional, small business owner, local council/government worker, student, consultant, looking to switch careers, or anything else besides, come down and meet others interested in sustainability. No agenda, workshops or webinars. Just chat over some nibbles and beers.Started in Glasgow during COP26, this relaxed event brings together those with a shared passion for sustainability in all its forms.We meet monthly to chat about what's going on in the Net Zero / Sustainability space, ""network"" and meet others who are interested in the industry. Let's see where the conversation, and night, takes us!Chat with other industry experts and talk directly to business owners facing the challenges you're trying to solve.Find others who can collaborate and help you on your journey and have fun doing so!Your HostsRuss Avery and Tim Brown are the co-Founders of Avery & Brown – an award-winning sustainable brand, marketing and creative agency for the built environment sector. The business is based in Farnham, but its clients are located throughout the UK and Europe. Avery & Brown is making waves for its radically transparent approach to the communication of its regenerative business journey, which they call #OperationRegeneration. Russ and Tim look forward to welcoming you to these People, Planet, Pint events and engaging in valuable conversations in a relaxed and informal setting.Our Sponsor KRYSTAL are an award-winning, 100% green web hosting provider,  with datacentres in the UK, US, & Europe. They are climate positive, and their approach centres on value, quality and transparency. We are delighted to announce our partnership with Krystal (the UK's only B Corp web hosting/cloud provider), and welcome them on board as sponsors  of the People, Planet, Pint events. This means the first 33 drinks are on Krystal at every event, and has allowed us to invest and upscale the series to accelerate action on climate change.About UsSmall99 is a platform that guides small business owners to Net Zero and avoids the overwhelm. Small99 organises the PPP events, with the belief that bringing people together will spark unexpected solutions to collaboration in tackling climate change.Simon Blackler is the founder and CEO of KRYSTAL, and Co-Founder of MillionTreePledge.",
Greening Your Money,"Money Movers is a movement of women taking climate action with their finances, using the power of peer-support. Our guest speaker Sarah MacLaren runs workshops for women who wish to take the first steps in this field, where mutual support and encouragement is a great motivator for us to begin examining our finances.","Tue, 26 Sep 2023 19:15 PM","Tue, 26 Sep 2023 21:30 PM","The Plough & Harrow, 88 Southdown Rd Harpenden AL5 1PR United Kingdom",London,https://www.eventbrite.co.uk/e/greening-your-money-tickets-546366295297,https://www.eventbrite.co.uk/o/sustainable-st-albans-our-planet-our-future-30349838062,"Greening Your Money - using your finances for goodMoney Movers is a movement of women taking climate action with their finances, using the power of peer-support. Our guest speaker Sarah MacLaren runs workshops for women who wish to take the first steps in this field, where mutual support and encouragement is a great motivator for us to begin examining our finances. Where we bank, invest our money and how we manage our finances is one of the key ways in which we can impact our planet, and yet is often not explored or utilised. Whilst we can make powerful changes to our lives that benefit the environment and strive for a fairer world, finances can often feel too intangible and complex for us to grapple with.Please note this evening of talks an discussion is open to all.Our Planet Our Future eventsThis talk is organised by the Our Planet Our Future group at Sustainable St Albans.For details of past and future events see hereOur Planet Our Future organising groupourplanet@sustainablestalbans.orghttps://sustainablestalbans.org/our-planet-events/",
Indigenous Peoples and Sustainability,Indigenous Peoples and Sustainability By QM School of Law,"Fri, 21 Jul 2023, 10:00 AM","Fri, 21 Jul 2023, 1:30 PM","Room 313, Third Floor, School of Law, Queen Mary University of London, Mile End Road, London E1 4NS, United Kingdom",London,https://www.eventbrite.co.uk/e/indigenous-peoples-and-sustainability-tickets-657507642057,https://www.eventbrite.co.uk/o/qm-school-of-law-2384265844,"W﻿hen: Friday, 21 July 10am - 1.30pm (BST)W﻿here: Room 313 , Third Floor, School of Law, Queen Mary University of London, Mile End Road, London E1 4NS (Via Westfield Way)F﻿ormat: In-personThe event is jointly organised by QMUL and the Northern Institute for Environmental and Minority Law, Arctic Centre, University of Lapland, in collaboration with the UArctic Law Thematic Network and the UArctic Chair in Arctic Legal Research and Education.P﻿rogramme9.45 Coffee10 am  Introduction10.15 am-11.15 am  TBC Panel 1: Climate change litigation Dr Agnes Rydberg:   Climate Change Litigation in General, University of Sheffield;  Dr Leena Heinämäki: Climate change and the rights of Indigenous (including Sámi) peoples: a progress or stagnation?  Senior Visiting Researcher, the Northern Institute for Environmental and Minority Law, Arctic Centre, University of Lapland;  11.15 am-12.15 pmPanel 2:   Right to a Clean Environment:  Human and NatureProfessor Malgosia Fitzmaurice: General Legal Framework of Human Right to Clean Environment and that of Nature; Intergenerational Equity, QMUL;Mohammad Golam Sarwar: The role of indigenous and local values in implementing the rights of Nature framework: Lessons from the Global South, SOAS;12.15pm-13.15 Panel 3: The Age of the AnthropoceneDr Alexis Alvarez-Nakagawa: Governing the Anthropocene Through the Rights of Nature: The Uses (and Abuses) of ‘Becoming Indigenous’, QMULDr Kamrul Hussain: Indigenous cosmovision for Earth-centric governance: deconstructing the normative structure of international law? Director of the Northern Institute for Environmental and Minority Law, Arctic Centre, University of Lapland;13.15pm-13.35pmConcluding Comments:  Ms Pauline Martini, QMUL. Lunch",
Eco Hero’s Holiday Club,Eco Hero’s is a Christian Holiday club encouraging children to have fun while learning how to protect our environment and planet all in our wonderful Jubilee gardens.,"August 2, 2023, 10:00 AM","August 2, 2023, 3:00 PM","St John the Baptist, Robin Hood Lane Kingston Vale London SW15 3PY United Kingdom",London,https://www.eventbrite.co.uk/e/eco-heros-holiday-club-tickets-662287398437,https://www.eventbrite.co.uk/o/st-john-the-baptist-church-15040861149,"All Welcome
Eco Hero’s is a Christian Holiday club encouraging children to have fun while learning how to protect our environment and planet all in our wonderful Jubilee gardens.
Where: St John the Baptist, Robin hood Lane, Kingston vale, SW15 3PY
When: Wednesday 2nd & Thursday 3rd August 2023
Time: 10 till 3pm
Cost: £4 per child per day.
Ages: 5-13

Please come equipped for the day with packed lunch, water, suitable clothing for weather and a jacket in case it's cooler or wet and sun cream ready applied if required.

We Look forward to meeting everyone.",
"Watford - People, Planet, Pastry","Meet others interested in sustainability in your community, share local stories and ideas, and accelerate local  climate action.","July 13, 2023, 10:30 AM","July 13, 2023, 12:00 PM",RefillAbell Watford,London,https://www.eventbrite.co.uk/e/watford-people-planet-pastry-tickets-658551383917,https://www.eventbrite.co.uk/o/small99-32771843245,"P﻿eople, Planet, PastryDon’t forget to bring your own containers!If you’re interested or curious about sustainability, come along to the People, Planet, Pastry event to meet like-minded business owners who are taking action on sustainability. Learn about what is going on locally, share insights on how to overcome barriers and make new friends!This relaxed and informal event brings people together to learn more about sustainability and take action. The sister event, People, Planet, Pint, brings people together to learn more and chat about climate, while our “Pastry” series is focused on empowering small businesses with the action they can take and where to start with sustainability.While we will mostly be discussing businesses, this is an open event where anyone is welcome, so if you’re curious about what’s going on, come on down!  Your Volunteer HostSabira Hasham is a Sustainability and Finance Consultant helping your business secure long term goals and go greener, all through making it financial sense! With various corporate roles behind her, she is now involved with impact making with her recent work around helping a dance academy combatting local mental health with a government bid, helping a specialist childcare agency improve on internal processes and acting as a Trustee in the Audit & Risk Committee with Royal Society of Blind Children.She strongly believes people working in finance are well placed to transition the economy to being sustainable and you will find her challenging the current economic models!Sabira puts importance of connection and experiences above all else so loves to travel when she is away from her desk.About UsSmall99 is a platform that guides small business owners to Net Zero and avoids the overwhelm. Small99 organises the PPP events, with the belief that bringing people together will spark unexpected solutions to collaboration in tackling climate change.",
QMIPRI Annual Conference 2023: Intellectual Property and Sustainable Living,The crucial and divergent narratives on the role of intellectual property law and theory in promoting a sustainable world,"Sep 14, 2023, 10:00 AM","Sep 15, 2023, 5:00 PM","Senate House, Malet Street, London WC1E 7HU, United Kingdom",London,https://www.eventbrite.co.uk/e/qmipri-annual-conference-2023-intellectual-property-and-sustainable-living-tickets-650712146547,https://www.eventbrite.co.uk/o/the-centre-for-commercial-law-studies-qmul-2652554812,"Queen Mary Intellectual Property Research Institute, in collaboration with the Centre for Commercial Law Studies, presents a two-day research conference investigating the crucial and divergent narratives on the role of intellectual property law and theory in promoting a sustainable world. The conference will take place over two days with each day being centered around a specific theme. The themes will cover the following: sustainability of fashion; status of the draft WIPO Treaty on Traditional Knowledge & TCEs; branding & sustainability; access to scientific journals; text and data mining; the role of AI; patents in a sustainable world; rights for indigenous and local communities; geographical indications, copyright, culture and heritage; green technologies & patents. The conference will hold a posters and networking day providing early career researchers an opportunity to participate and explore the diversity of issues and careers within the IP professional and research spheres.P﻿lease note: This is an in person event. Our two keynotes speakers will be: Ruth Okediji (Jeremiah Smith. Jr, Professor of Law at Harvard Law School and Co-Director of the Berkman Klein Center)Wend Wendland (Director, WIPO Traditional Knowledge Division). Other confirmed speakers include:Margo A. Bagley (Emory Univ. School of Law)Ilanah Fhima (University College London)Dev S. Gangjee (University of Oxford)Oliver Lampe (University of Münster)Francis Kariuki (Strathmore University / OpenAir Africa)Fiona Macmillan (Birkbeck, Univ. of London/l'Universita' degli Studi Roma Tre)Anke Moerland (Maastricht Univ.)J. Janewa Osei-Tutu (Florida International Univ.)Maria Asunción Esteve Pardo (Univ. of Barcelona)Christina Yan Zhang (The Metaverse Institute)Andrea Zappalaglio (Univ of Sheffield)Registration:Standard Fee: £100Academics (global) Fee: £50 - institutional email is required for registrationStudents Fee: £25 - institutional email is required for registrationQMUL Staff and QMUL PhD Students: Free - institutional email is required for registrationThe registration fee reflects the costs of venue hire, lunches and daily refreshments, and an evening drinks reception on the first day. All tickets are valid for the full two-day conference. We are unable to offer tickets for individual days.P﻿lease note that failure to provide the relevant institutional details upon registration will result in your booking being cancelled. If you have any questions about registration please get in touch with the CCLS Events team at ccls-events@qmul.ac.uk.Disclaimer: Due to changing circumstances, the final programme of speakers may be subject to changes and in person participation by all speakers cannot be guaranteed.Participants should note that photographs will be taken at the event, which may be used for marketing purposes on the website, press release, or through other means by the QMUL. If you would prefer for you not to be photographed, please get in touch with a member of the Events team on the days of the event.",
Masters Conference 2023: People and Buildings,We welcome students to present your research in various forms and expand your connection in sustainable built environment.,"Fri, 15 Sep 2023, 10:00 AM","Fri, 15 Sep 2023, 6:00 PM","University of Westminster Marylebone building, 35 Marylebone Road London NW1 5LS United Kingdom",London,https://www.eventbrite.com/e/masters-conference-2023-people-and-buildings-tickets-666685874397,https://www.eventbrite.com/o/network-for-comfort-amp-energy-use-in-buildings-52707255083,,
