Event Name,Short Description,Start,End,Location,City,Event URL,organizer_link-href,full_description
Water Night with Shrishtee Bajpai,Dive into the Water Night event with Shrishtee Bajpai to tackle global water issues.,6/30/23 19:30,6/30/23 21:00,"Nieuwe Instituut, Museumpark 25 3015 CB Rotterdam Netherlands",Rotterdam,https://www.eventbrite.nl/e/water-night-with-shrishtee-bajpai-tickets-634731277337,https://www.eventbrite.nl/o/nieuwe-instituut-8317002316,"Rotterdam Architecture Month, International Architecture Biennale Rotterdam (IABR), and Nieuwe Instituut invite researcher and environmental activist Shrishtee Bajpai to tackle global water-related issues and highlight the urban, architectural, social, ecological and geological aspects of designing with water, together with invited guests and the audience.Water issues including drought, flooding, lack of drinking water, biodiversity loss, and social inequality, pose significant global challenges. To address these issues, Water Night will feature researcher and environmental activist Shrishtee Bajpai, who will discuss her involvement in the Rights of Rivers movement and explore systemic alternatives for social justice and the rights of nature, alongside conversations with stakeholders from the Netherlands and around the world to discuss what ways are possible to restore our relationship with nature and foster healthy, inclusive, and resilient cities and societies.Water Day and Night is part of the closing event of Rotterdam Architecture Month organized together with IABR and Nieuwe Instituut. With tours, workshops and lectures, this progamme highlights urban, architectural, social, ecological and geological aspects of designing with water.P﻿rogramme of Water Night19:30 hr Start of the programme19:40 hr Keynote presentation by Shrishtee Bajpai20:15 hr Conversation with 2 panels21:00 hr End of the programmeMore information on the Water Day programme will follow soon.Shrishtee BajpaiShrishtee Bajpai is a researcher based in Pune, India and is member of the environmental action group Kalpavriksh. Her research focuses on documenting, researching, and networking on radical alternatives to dominant systems with specific focus on exploring Indigenous, traditional, and customary ways of living, decision-making and their underlying worldviews. Her visit is made possible by the International Visitors Programme of the Nieuwe Instituut.Rotterdam Architecture MonthRotterdam Architecture Month is the biggest architecture festival of the Netherlands about the future of the city. The floating festival heart in Maashaven is open for the public the whole month of June.International Arcitecture Biennale RotterdamThe International Architecture Biennale Rotterdam (IABR) is the biennial international event on architecture and urbanism with a focus on the major challenges that the climate crisis and growing social inequality pose to designers and architects.Image credit: Devprayag - Confluence of Bhagirathi and Alaknanda to form the river Ganga. Image courtesy: Wikimedia Commons."
EAGE Local Chapter Netherlands June YP event," A technical talk on ""SCAN geothermal project"" and BBQ networking event for Young Professionals & Students",6/30/23 18:00,6/30/23 21:00,"Cafe X, Mekelweg 8-10 2628 CD Delft Netherlands",Delft,https://www.eventbrite.co.uk/e/eage-local-chapter-netherlands-june-yp-event-tickets-634758689327,https://www.eventbrite.co.uk/o/eage-local-chapter-netherlands-51849995983,"We would like to invite you to our June live event for Young Professionals & StudentsHydrogen Storage:📢 Registrations to our event are now open! 🎉📍	Join us on June 30th, 2023 at 18:00 pm at the café X Delft, Mekelweg 8-10, 2628 CD Delft, NetherlandsEvent agenda:17:45 - 18:00: Arrival and welcome 18:00 - 18:30: Icebreaker event18:30 - 18:40: Short introduction by Florencia Balestrini 18:40 - 19:15: Technical talk by Johannes van den Akker (EBN) on: 																			  “SCAN geothermal project” 19:15 - : BBQ & networking✏️ Please register here✏️📢🎉📢 We hope to see you all there! 📢🎉📢-﻿-------------------------------------------------------------------------------------------------------------------------Summary
To achieve the Dutch policy objective to reduce carbon emissions by 55% in 2030, a shift from fossil towards renewable energy resources is required. Within the Netherlands, geothermal energy is a proven renewable energy resource, but currently only with a limited number of operating installations. Presently producing geothermal projects in the Netherlands are generally located in areas where abundant subsurface data is available.A limiting factor to the broader development of geothermal projects is the fact that the subsurface data in the Netherlands is not well distributed; seismic & well data coverage is poor in roughly half of the country, including major residential and industrial areas with high heat demand. Improving the data coverage in these areas would increase the benefit-risk ratio of geothermal projects. 
In 2017 a framework study was carried out by Energie Beheer Nederland B.V. (EBN) and the TNO Advisory Group for Economic Affairs (TNO-AGE) to identify what data acquisition is required to overcome this data limitation.Subsequently, EBN and TNO-AGE have embarked on a geothermal exploration program (SCAN: ‘Seismische Campagne Aardwarmte Nederland’) to acquire additional subsurface data to decrease subsurface uncertainty and hence shape the conditions needed to encourage the development of geothermal projects. This program is government funded through the Ministry of Economic Affairs and Climate.
The SCAN program is focused on three key activities, namely:
1. The acquisition of regional 2D seismic data
2. The reprocessing of existing 2D seismic data
3. A data well campaign
The acquisition of the new seismic data started with a 2D test line in early 2019, which was carefully analysed to determine the optimum and affordable 2D acquisition parameter for the regional acquisition. The resulting key acquisition parameters were a shot spacing of 60m and a geophone spacing of 5m, using explosives as seismic source. In September 2019 the regional acquisition campaign started and lasted for almost 2.5 years, acquiring a total of 1800 km of 2D seismic and a total of almost 7500 km vintage seismic data is processed. All resulting data is made public free of charge on the SCAN website and the Dutch subsurface portal (NLOG). Based on this newly acquired data, ten search areas have been selected and the first SCAN well is planned to be drilled in 2023.A﻿bout JoahnnesMy name is Johannes van den Akker, I’m 30 years old and live in Amsterdam. I finished the Idea League Geophysics Master in 2018 and after graduating I was not really looking for an office job. I guess I got lucky and I started working for EBN B.V. in 2019 as an acquisition geophysicist. Since then I have been involved in the Seismische Campagne Aardwarmte Nederland (SCAN) project, mainly in the field for the acquisition of 2D seismic data. Recently I’ve been working on well development and data acquisition planning for the coming SCAN wells."
No More Building as Usual: Architecture Beyond Carbon and Greed,A gathering to explore the new roles that architects and urban designers can take up around socio-ecological ambitions,6/24/23 10:00,6/24/23 17:30,Rotterdamse Academie van Bouwkunst,Rotterdam,https://www.eventbrite.nl/e/tickets-no-more-building-as-usual-architecture-beyond-carbon-and-greed-636462876597,https://www.eventbrite.nl/o/rotterdamse-academie-van-bouwkunst-11846198964,"[﻿Nederlands hieronder]The built environment is one of the largest drivers of natural resource depletion, ecosystem destruction, rising temperatures and more extreme weather conditions, and increasing socioeconomic inequality. Designers and other actors in the production of space play an important role in this and are responsible for developing alternative building practices that help counter these negative trends.On Saturday June 24 we organise a gathering to discuss new roles that architects and urban designers can take up. How can we give shape to a different planning, design culture and construction industry? How can we learn to have positive footprints before a carbon lockdown goes into effect? What does it mean to approach the (built) environment from a perspective of regeneration? What type of architects do we want to be? And how can we do so in a healthy work culture? We want to explore a way of working that goes beyond the competitive model of individual success and soloist genius, towards one of collaboration around socio-ecological ambitions.This work conference marks the end of the 5-year term of Renske van der Stoep and Thijs van Spaandonk as heads of the Masters in Architecture and Urbanism and a celebration of the education programme they introduced, “Design for the Rotterdam Climate Reality”. It will also be used to discuss the future of education at the Rotterdam Academy of Architecture and Urbanism.Speakers (in English)Maria Lisogorskaya (Assemble)Maarten Gielen (Rotor) Winne van Woerden (Commons Network)Sessions (in English and Dutch)How to Cope (a group therapy)Building RitualsDesigners’ RebellionRedesign the SchoolAfter Ego ArchitectureJoin us for a full day including a vegetarian lunch from our neighbours Chinny and a shrub from Fat Blake. A detailed time table for this event will follow soon.Neighbours R﻿aisin the Bar (@clubraisin) and Fat Blake (@fatblake) wil be hosting a bar with local beer and natural wine, plus music. For coffee we will pour a filter. See you the 24th of june! G﻿et your ticket before June 1st at a discount (€19,50 instead of €22,50 / €14,50 instead of €17,50 for students).N﻿ederlandsDe gebouwde omgeving draagt in belangrijke mate bij aan de uitputting van natuurlijke hulpbronnen, de verstoring van ecosystemen, de opwarmende aarde en daaraan gerelateerde extremere weersomstandigheden, en grotere sociaaleconomische ongelijkheid. Ontwerpers en andere actoren in de productie van de gebouwde omgeving spelen hierin een belangrijke rol en zijn mede verantwoordelijk voor het ontwikkelen van een alternatieve bouwpraktijk die de negatieve tendensen weet om te buigen.Op zaterdag 24 juni gaan we in gesprek over nieuwe rollen die architecten en stedenbouwkundigen kunnen en moeten oppakken. Hoe kunnen we werken aan een andere planologie, ontwerpcultuur en bouwpraktijk? Hoe kunnen we bijvoorbeeld gebouwen een positieve footprint geven en voorkomen dat we in een totale CO2-lockdown terechtkomen? Hoe kunnen we de gebouwde omgeving ontwikkelen op basis van regeneratieve uitgangspunten? Wat voor ontwerpers willen we zijn? En hoe kunnen we een gezonde werkcultuur ontwikkelen? We streven naar een werkwijze die het competitieve model van individueel succes en het solistische genie achterlaat en samenwerking rond sociaal-ecologische ambities centraal stelt.Deze werkconferentie markeert de afsluiting van de vijfjarige termijn van Renske van der Stoep en Thijs van Spaandonk als hoofden van de masteropleidingen Architectuur en Stedenbouw en een viering van het onderwijsprogramma ‘Ontwerpen aan de Rotterdamse Klimaatopgaven’, waartoe zij de aanzet hebben gegeven. De dag wordt ook gebruikt om vooruit te kijken naar de toekomst van onderwijs aan de Rotterdamse Academie van Bouwkunst.Sprekers (Engelstalig)Maria Lisogorskaya (Assemble)Maarten Gielen (Rotor)Winne van Woerden (Commons Network)Sessies (Nederlands- en Engelstalig)How to Cope (a group therapy)Building RitualsDesigners’ RebellionRedesign the SchoolAfter Ego ArchitectureNeem deel aan het gehele programma (inclusief lunch en borrel). Het precieze tijdschema van de dag volgt binnenkort."
Masterclass Decolonizing AI,This masterclass will take a deep dive into the social impact of AI systems.,6/29/23 16:45,6/29/23 19:30,"Polak Building, First Floor Burgemeester Oudlaan 50 3062 PA Rotterdam Netherlands",Rotterdam,https://www.eventbrite.nl/e/masterclass-decolonizing-ai-tickets-645941567617,https://www.eventbrite.nl/o/erasmus-centre-for-data-analytics-ecda-56040535853,"AI systems can reflect and perpetuate biases and inequalities present in society. The prevention of institutional racism and discrimination in AI systems requires grasping two highly significant but often ignored aspects. The relation between inclusion and technology. The world of diversity and inclusion rarely meets the world of digitalization and automation, while the two are often heavily intertwined.The nascent study of coloniality in this meeting of worlds. In this masterclass we will go beyond the ethical perspective that often overlooks these two aspects and provide an understanding of how colonial histories play a role in AI today.About the speaker Oumaima Hajri, Researcher/Lecturer Responsible Applied AI, Rotterdam University of Applied Sciences.Oumaima Hajri is a researcher at Kenniscentrum Creating 010. Her focus lies at the intersection of artificial intelligence and ethics. Oumaima studies how artificial intelligence can be used in a responsible and ethical way – i.e. by looking at the ethical implications throughout the entire design process. Hajri is furthermore a board member of Public Spaces and initiator of the Alliance against Military AI consortium. Program  16:45 – 17:00 Welcome (Refreshments will be served)17:00 – 17:05 Kick-Off and Introduction 17:05 – 17:50 Masterclass presentation on decolonizing AI17:50 – 18:05 Break (Refreshments and lite bites will be served)18:05 – 18:55 Interactive discussion and workshop18:55 – 19:00 Wrap-up 19:00 – 19:30 Networking drinks and bitesThis program is organized by the AI, Data & Digitalization - Convergence, (a collaboration with Erasmus MC, Erasmus University Rotterdam, and TU Delft) in which the complementarity of technical sciences with the humanities is central.  This Masterclass will answer the following questions:What is the societal impact of AI? How does it intersect with issues of discrimination, social inequality and climate change?What strategies and techniques can be employed to identify and mitigate these issues in AI systems? What role do diversity and inclusion play in fostering the development and use of AI for good?Which considerations should policymakers, regulators, developers and designers include in fostering the development and use of AI for good?What are the ongoing research areas and future directions for promoting social justice within the field of AI?Target AudienceAI developers,policymakers, researchers, civil society organizations, interested citizens and affected communities."
"ZoHo, Proeftuin voor de Natte Stad",Wet City Walkshop met ontwerper Bas Sala.,6/16/23 14:00,6/16/23 15:30,"ZoHo Letters, Hoek Heer Bokelweg - Vijverhofstraat, Heer Bokelweg 3032 AD Rotterdam Netherlands",Rotterdam,https://www.eventbrite.nl/e/tickets-zoho-proeftuin-voor-de-natte-stad-636407591237,https://www.eventbrite.nl/o/we-love-public-space-33494271087,"Ontdek het Zomerhofkwartier (ZoHo), hét klimaatkwartier van Rotterdam. Ontwerper Bas Sala neemt je mee langs verschillende innovatieve projecten in het gebied, van Waterplein tot Regentuin.  ZoHo staat al lange tijd op de nominatie voor stedelijke transformatie en verdichting. In de tussentijd hebben zich er veel ontwerpers en stadsmakers gevestigd die werken aan innovatieve oplossingen voor klimaatadaptatie, waaronder Studio Bas Sala/Cloiq.  Eén van hun projecten zijn de ZoHo regenletters; dat zijn z.g. slimme regentonnen in de vorm van gebiedssigning. De slimme regenton is uitgerust met allerlei technische snufjes en reguleert zelfstandig het ideale waterpeil. De ton spaart water op voor droge periodes en loost de voorraad als er hoosbuien in aantocht zijn. Een slimme en simpele manier om regen te spreiden en wateroverlast tegen te gaan."
The Handshake With: Kirsten Mildren (UNOCHA),"The Hague Peace & Justice Talent Hub presents- The Handshake with: Kirsten Milden (UNOCHA). Ask questions, get insights, and be inspired.",6/14/23 17:00,6/14/23 21:00,"The Hague Humanity Hub, 58 Fluwelen Burgwal 2511 CJ Den Haag Netherlands",Den Haag,https://www.eventbrite.nl/e/the-handshake-with-kirsten-mildren-unocha-tickets-640586440287,https://www.eventbrite.nl/o/the-hague-humanity-hub-16890919535,"Navigating your career in the world of peace & justice can be tough: with so many potential options, causes, and routes into the sector. Sometimes it can even be difficult to think where to begin- do I need to do several internships? Does everyone need to go into 'programme management'? And why does every UN job require a 24-page application form?That's why The Hague Peace & Justice Talent Hub is launching 'The Handshake': an event series where we invite senior figures from the world of peace & justice to join in conversation and reveal how they've ended up where they are! You'll have the chance to ask questions, get insights, and be inspired. Beginning with Kirsten Mildren, Chief of Public Advocacy and Campaigns at UNOCHA on June 14 (17:00 - 19:00). A﻿bout Kirsten: Kirsten Mildren is the Chief of Public Advocacy and Campaigns for the United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA). She leads communication efforts around the world to provide support for the 230 million people who need humanitarian assistance, mostly through global advocacy campaigns.UN OCHA has a unique mandate to speak out on behalf of the people worst affected by humanitarian situations. It’s the humanitarian arm of the UN responsible for coordinating the international humanitarian response to save more lives.Grinding conflict, the deadly climate crisis and health epidemics, are causing record levels of hunger and displacement, worsened poverty, and has put equality for women and girls increasingly out of reach. As a result, one out of every 23 people now needs humanitarian assistance.It’s her job to keep world attention focused on humanitarian issues.Kirsten is passionate about storytelling and innovative digital content. Many of her campaigns for World Humanitarian Day have won awards such as Impossible Choices, The Human Race and Share Humanity - https://about.worldhumanitarianday.org/past-campaigns/ Kirsten has just celebrated 20 years with OCHA where she has worked in Addis Ababa, Geneva, Bangkok and New York and has deployed to dozens of emergencies all over the world including most recently for the Syria and Turkey earthquake.Before joining the UN, she worked as a television journalist for the Australian Broadcasting Corporation, which she joined as a cadet after graduating from law and journalism in Australia.Kirsten and her three sons are based out of The Hague with their chocolate Labrador Toffee who is a pandemic puppy.Linkedin: kirsten-mildrenPlease note that during The Handshake event a photographer and/or videographer will be present in order to take picture, for use by The Hague Humanity Hub and its partners in future marketing efforts. These can include social media usage, blog posts, as general marketing material, and to market future events and initiatives. By attending The Handshake you give permission for your image to be used to promote The Hague Humanity Hub in the future. You can withdraw your consent by emailing community@humanityhub.net and specifying the event in question (as well as by providing details to help us identify you). Once consent has been withdrawn, The Hague Humanity Hub will delete any photo of you as soon as is possible. If you’d like to not be featured in any image and/or video capture in an upcoming event, please notify community@humanityhub.net and we will take step to ensure you are not included in any photos or videos. Thank you for your cooperation!"
"M4H, Living Lab for the Wet City",Wet City Walkshop with landscape designer Lorenzo Bertolotto,6/24/23 10:30,6/24/23 12:00,"Keilepand, 9f Keilestraat, 3029 BP Rotterdam, Netherlands",Rotterdam,https://www.eventbrite.nl/e/tickets-m4h-living-lab-for-the-wet-city-642008965097,https://www.eventbrite.nl/o/we-love-public-space-33494271087,"Explore the Merve-Vierhaven district, where the city meets the river. Landscape designer Lorenzo Bertolotto will walk you along innovative projects dealing with water: the Keilehaven tidal park (currently under construction), the Sponge garden and the Dakpark.Keilehaven will become a new tidal park in Rotterdam, merging the re-naturalization of a post-industrial harbour with the poetry of the tides. The Sponge garden is the first experiment to test, observe, and quantify the potential ""sponginess"" of nature-based solutions for urban water management. The Dakpark is the biggest green roof in Europe, where Lorenzo has been conducting a pilot project with grazing sheep to improve water retention and urban biodiversity.This event is in English. Long pants and closed shoes recommended."
An Apocalyptic Soundtrack of the City,"A talk on how music can assist us on our way to the apocalypse, with special guest Extinction Rebellion",6/14/23 19:30,6/14/23 21:00,Museumpark 25 3015 CB Rotterdam Netherlands,Rotterdam,https://www.eventbrite.nl/e/an-apocalyptic-soundtrack-of-the-city-tickets-619825724427,https://www.eventbrite.nl/o/nieuwe-instituut-8317002316,"Rosi Braidotti and Shay Kreuger explore how music has been used to articulate our desires and emotions on the way to the apocalypse. With special guest Extinction Rebellion.From David Bowie to Prince, and Billie Eilish to Doe Maar: the end of the world has been sung for decades already. Rosi Braidotti and Shay Kreuger continue their series of talks on how music allows us to express our desires and perceptions of the world and help us come to face with our fears. The end of the world (or ’the apocalypse’) is no exception. If the world does have to end, then let's at least go down dancing.Joining their conversation is the international activist movement Extinction Rebellion who voice their deep concerns for the climate and ecological crisis, and fight for a livable and just planet.P﻿rogramme19:15 hr: Doors open at the Auditorium19:30 hr: Introduction by Francien van Westerner19:35 hr: Lecture by Rosi Braidotti19:50 hr: Conversation with Rosi Braidotti and Shay Kreuger20:25 hr: Conversation with Extinction Rebellion and Shay Kreuger20:40 hr: Conversation with all speakers and Q&AI﻿mage credit: Aad Hoogendoorn, Nieuwe Instituut"
GTGC Conference Roundtable: Local Action for Global Change in The Hague," Join us for a plenary roundtable, small group discussions, and  lunch to learn about possible challenges in local action for global change.",6/9/23 10:30,6/9/23 13:00,"The Hague Humanity Hub, 58 Fluwelen Burgwal 2511 CJ Den Haag Netherlands",The Hague,https://www.eventbrite.nl/e/gtgc-conference-roundtable-local-action-for-global-change-in-the-hague-tickets-628537652037,https://www.eventbrite.nl/o/the-hague-humanity-hub-16890919535,"The Hague, the International City of Peace and Justice, is not only a major hub of embassies, international organizations, and NGOs, but also a hive of grassroots activism on global issues. Bottom-up social movements engage global questions around culture, environment, food security, human rights, refugees, and more. This special event brings together conveners of local movements for global change to exchange experiences of mobilizing citizens around global challenges. What works (and what doesn’t)? Join us at the Hague Humanity Hub on Friday, 9 June 2023 @ 1030-1330 for a plenary round table, small group discussions, and a networking lunch to learn about possibilities and challenges in local action for global change.T﻿he speakers for this event are:T﻿om Marshall:Tom believes that work should help you thrive as a human being while making the world a better place. He’s been active with Extinction Rebellion since 2019; focusing on training and growing the climate movement. Professionally, he uses the same skillset as a Workshop Facilitator & Coach for young professionals who are striving to create a more sustainable world. He previously worked as a strategy consultant at Deloitte, so acts as a bridge in shaking up business as usual.Maral Khajeh:Maral Khajeh is an Iranian/Dutch lawyer and peace advocate and has worked for the global pro-bono law firm Public International Law and Policy Group, the Erasmus Prize Foundation and Nonviolent Peaceforce South Sudan. She coordinated leadership & peace projects in North and East Africa. As she lived in Egypt and South Sudan, Maral worked closely with civil society. Through her work she always tries to connect Human Rights with Art. Maral currently works at The Hague-based human rights organisation Justice & Peace Netherlands as the Programme Coordinator of the global temporary relocation initiative for human rights defenders at risk, Shelter City. Arna van der Sloot:Arna deals with social issues in which society, the extreme extremes and prejudices within this society are central. She stands up for minorities, helps welcome people into society and offers them an opportunity to participate. She founded, Arna's Production House which is an innovative company and a creative partner when it comes to theatre, film or voice productions.--This event is a part of the Global Transformations and Governance Challenges Conference.	  GTGC is based in The Hague, a world centre of global governance as well as political capital of the Netherlands. The GTGC programme brings together scholars from different faculties at Leiden University, working in highly interdisciplinary teams."
Prometheus'  Problems,The greatest good for the greatest number of people sounds like a sensible approach for impact on society. Or is there more at stake?,6/2/23 17:00,6/2/23 19:00,TU Delft Library,Delft,https://www.eventbrite.com/e/prometheus-problems-doing-good-check-your-charity-tickets-633206306107,https://www.eventbrite.com/o/studium-generale-tu-delft-28048008259,"""Impact for a better society"" is Delft University's strategic motto: we aim to overcome the challenges of our world through research into technological solutions as wells as policy and governance. But there are many more ways in which one can have a positive impact on society, for instance through social movement, activism and good old-fashioned charity.Charity knows many forms and flavours, and has itself been the topic of much debate and research. How do you achieve the best outcome? Do you trust large organisations to decide how to effectively spend your money, or do you simply hand out cash to individuals and let them spend it where they feel it is most needed?And who decides what the 'best outcome' is? The greatest good for the greatest number of people sounds like a sensible approach for impact on society. But do the needs of the many always outweigh the needs of the few, or are there other values and human rights at stake?Kritika Maheshwari is Assistant Professor in Ethics & Philosophy of Technology at the TPM Faculty of TU Delft. Kritika’s research interest and work lays at the intersection of moral and political philosophy of risk. She’s particularly interested in how societies ought to tackle and mitigate existential risks keeping future generations in mind.Eduard Nazarski was director of Amnesty International Netherlands from 2006 to 2020. He remains committed to  peace and human rights, and is currently president of the supervisory board of peace organisation PAX.Jan Wehner is currently in the second year of his master's degree in Computer Science, specialising in artificial intelligence. He is a founding member of both Effective Altruism Delft and the Delft AI Safety Initiative.Prometheus’ ProblemsAt this quarterly event, students, professors and external experts will exchange thoughts about philosophical and ethical themes related to engineering, modern technology and its impact on society. Importantly, the themes are based on questions put forward by students themselves. A discussion in a comfortable setting, with a drink at hand."
An Evening with Kunlé Adeyemi,Get to know architect Kunlé Adeyemi in this edition of 'An Evening with',6/22/23 19:30,6/22/23 21:00,"Nieuwe Instituut, Museumpark 25 3015 CB Rotterdam Netherlands",Rotterdam,https://www.eventbrite.nl/e/an-evening-with-kunle-adeyemi-tickets-591729838877,https://www.eventbrite.nl/o/nieuwe-instituut-8317002316,"In this edition of An Evening With – a series of conversations with emerging and established voices from the design world – we welcome Kunlé Adeyemi. Together with the architect, we talk about his practice, inspirations and fascinations, and his new publication African Water Cities which will be launched this evening. This event is moderated by architect Aura Luz Melis.Kunlé Adeyemi was born in Nigeria and lives and works in the Netherlands. Together with his agency NLÉ, for the past decade he has been researching the relationship between cities and water, rising sea levels and housing shortages. He studies coastal African cities where rapid urbanisation and rising water levels are leading to major challenges and innovative solutions.During this evening, the publication African Water Cities is presented to the public for the first time. The publication presents research on African water cities and how they deal with the two most important trends of our time: urbanisation and climate change.Water Cities Rotterdam. By Kunlé Adeyemi.Opening on 14 May 2023, Adeyemi's impressive floating pavilions will be on display as part of the exhibition Water Cities Rotterdam. By Kunlé Adeyemi."
Sinkit Quarterly Meeting,Project Updates | Achievements | Shrink plans | Cooperation,6/1/23 16:00,6/1/23 19:00,Stationsplein 45 E 6 -176 3013 AJ Rotterdam Netherlands,Rotterdam,https://www.eventbrite.com/e/tickets-sinkit-quarterly-meeting-623016528207,https://www.eventbrite.com/o/sinkit-cooperative-64825714623,
