Event Name,Short Description,Start,End,Location,City,Event URL,Source CSV,organizer_link-href,Full_description
"6th Fest - ""Altar to a Better Catastrophe""","Two books, two climate leaders, one great evening",6/4/23 18:00,6/4/23 19:30,"Balance Arts Center, 151 W. 30th St 3rd Floor New York, NY 10001",NYC,https://www.eventbrite.com/e/2023-6th-fest-altar-to-a-better-catastrophe-dual-book-discussion-tickets-637579666947,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/the-sixth-festival-46517558393,"The third annual Sixth Fest, a climate change fringe festival aiming to help stop the destruction of the planet with events of all kinds from participants in New York and beyond, presents 2 of the smartest human being alive, talking.Altar to an Erupting Sun by Chuck Collins+I Want a Better Catastrophe by Andrew Boyd 90 MINUTES Discussion + Book signingAltar to an Erupting SunA near-future story of one community facing climate disruption in the critical decade ahead. Rae Kelliher is a veteran environmental activist and pioneer in the death-with-dignity movement. Facing a diagnosis of terminal illness, she engages in a shocking suicide murder, taking the life of an oil company CEO for his role in delaying responses to climate disruption. Seven years later, Rae’s friends and family gather at her Vermont farm community to try to understand her violent exit and the rapid social transformations around them.I Want a Better CatastropheWith global warming projected to rocket past the 1.5°C limit, lifelong activist Andrew Boyd is thrown into a crisis of hope, and off on a quest to learn how to live with the “impossible news” of our climate doom. He searches out eight leading climate thinkers — from collapse-psychologist Jamey Hecht to grassroots strategist adrienne maree brown, eco-philosopher Joanna Macy, and Indigenous botanist Robin Wall Kimmerer — asking them: “Is it really the end of the world? and if so, now what?”About the Festival:Named after the sixth mass extinction event currently underway, the Sixth Fest has put on more than 40 events and productions in New York, Chicago, and online. From poetry to panels, pageants to protests, we are a fringe festival both in that we encourage people to create their own events, and that those events can be of whatever kind. For all life on earth.FIND OUT MORE ABOUT THE 2023 FESTIVAL HAPPENING JUNE 1 - 11"
Critical Minerals in Latin America,A panel discussion on accelerating sustainable copper and lithium extraction in Latin America to meet the world's demand for critical minerals.,6/5/23 12:00,6/5/23 14:00,"Faculty House, 64 Morningside Dr., New York, NY 10027 Presidential Ballroom",NYC,https://www.climate.columbia.edu/events/critical-minerals-latin-america,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,,"Register on CU Events 
                      
                                                              
                        
            12:00-12:30 p.m. EDT (In-Person Reception)
12:30-2:00 p.m. EDT (In-Person & Livestream Meeting)
As the world transitions from consuming fossil fuels-based energy into low-carbon energy sources, demand for copper, lithium, nickel, and other minerals will increase for things like electric mobility, solar panels, wind turbines, and energy storage. However, the world is not on track to get these minerals at current rates. The world’s demand for lithium is projected to increase by 40 times and that for copper to potentially double by 2040 relative to 2020 levels. 
Latin America has the world’s largest deposits of both copper and lithium. Chile and Peru are the world’s leading copper producers with about 40% of global production, while Chile and Argentina account for 32% of global lithium supply. However, Latin America faces a number of social, political, environmental, and financial challenges to increase its critical minerals extraction and processing capacity. 
The Center on Global Energy Policy at Columbia University’s School of International and Public Affairs will host a panel of experts to discuss what needs to be done to accelerate sustainable copper and lithium extraction in Latin American countries. This event will focus on the challenges and opportunities that governments and industry face to turn these mineral reserves into a bridge for the energy transition globally. Light refreshments will be provided.
Panelists:
María José Baptista, Interagency and Intergovernmental Affairs Officer, United Nations Environment Programme
Juan Carlos Jobet, Distinguished Visiting Fellow at the Center on Global Energy Policy  at Columbia University SIPA; Dean, School of Business, Universidad Adolfo Ibáñez; Former Minister of Energy and Mining, Chile
Tom Moerenhout, Research Scholar, Center on Global Energy Policy at Columbia University SIPA; Adjunct Associate Professor of International and Public Affairs, Columbia University SIPA; Adjunct Assistant Professor, New York University Stern School of Business; Senior Advisor, World Bank
Moderator:
Diego Rivera Rivota, Research Associate, Center on Global Energy Policy at Columbia University SIPA
---
This event will be hosted in person in New York City and live streamed via Zoom.
Advance registration is required. Upon registration, you will receive a confirmation email. The event will be recorded and the video recording will be added to our website following the event.
This event is open to press, and registration is required to attend. For media inquiries or requests for interviews, please contact Natalie Volk (nv2388@columbia.edu).
For more information about the event, please contact energypolicyevents@columbia.edu.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Center on Global Energy Policy
      
                                                                                          
            energypolicyevents@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events"
Climate Education on Chancellor's Day,"Bring climate education into your classroom! Join in-person workshops with educator content created by teachers, for teachers!",6/8/23 9:00,6/8/23 14:30,"Teachers College, Columbia University, 525 West 120th Street New York, NY 10027",NYC,https://www.eventbrite.com/e/climate-education-on-chancellors-day-registration-626556586617,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/nyc-doe-office-of-sustainability-22898367351,"Whether you want to go further with climate education, or are just getting started, this event is for you! Join the Office of Sustainability on Chancellor’s Day for climate education professional learning. Earn up to 5 CTLE credits!This content is created and led by the DOE's Climate Education Leadership Team (CELT). CELT is a group of over 30 NYC Public Schools teachers and administrators. Their goal is to integrate full and equitable climate education across all areas of study and school culture.We have four workshops, facilitated by CELT Members, that can be applied in all grade levels and subjects:Workshop 1:  Planning and Implementing a Climate Action Day A Climate Teach-In is a great way to catalyze school-wide education and awareness about climate change. This session will provide ideas, guidance and year-long support for educators looking to facilitate school-wide events, and lay the foundation for a Climate Action Day, as called for PlaNYC(New York City's climate action strategic plan).Workshop 2: Accessing & Sharing Climate Resources Learn about CELT's monthly Climate Ed Digest which is packed full of resources to teach about climate education. We will show you how to access the documents and work on a fun hands-on project that can be modified for any grade. The session will also provide strategies to share climate communication with your colleagues.  Workshop 3:  Climate Education Advocacy 101 Develop your advocacy skills by refining a “pitch” to use at your own school to advance climate education. Learn the four key “asks” that the Advocacy subcommittee of CELT has identified, and the climate education goals in the Mayor’s recent PlaNYC. We will practice using advocacy skills in activities with your students and Green Teams turning our goals into actions! Workshop 4:  Easy Entryways for Climate Education: Scaffolding Data and Texts in the ClassroomTeachers are under pressure to teach a certain curriculum and prepare for certain exams. This limits curricular flexibility and time. We'll provide accessible entryways to teach climate education using data and texts. Strategies and resources available for grade levels K-12. Details: Date: Thursday, June 8, 2023 Time: 9:00AM – 2:30PMLocation: Teachers College at Columbia University, 525 W 120th St, New York, NY 10027Directions to Teachers College and Campus MapsFor individuals with disabilities requiring accessible parking, please see parking location details and one-day authorization detailAudience: DOE teachers, all subjects, grades K-12L﻿unch will be providedUp to 5 CTLE credits are availableI﻿mage description: Two students sit and color at a table. On the table is a poster with a drawing of the Earth, along with scraps of paper and a box of markers."
NY Climate Tech + MCJ June Meetup,"Join NY Climate Tech and MCJ for our June Meetup! Network, exchange ideas & learn about climate tech. Free & open to all.",6/8/23 17:00,6/8/23 20:00,"189 Bowery New York, NY 10002",NYC,https://www.eventbrite.com/e/ny-climate-tech-mcj-june-meetup-tickets-640669237937,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/ny-climate-tech-6049352107,"N﻿ot Sold Out! Please RSVP on Lu.maJoin NY Climate Tech and MCJ for our June meetup! T﻿his month we're jointly hosting the meetup with MCJ Collective. If you don't know them, they're a community, podcast, and venture fund dedicated to climate action. Their whole team will be in town, so come give them a big NY welcome!P﻿lease RSVP here or on the MCJ Lu.ma We're asking a few new questions this time around to follow their event format: Company Name, LinkedIn, and Asks/Offers – we'll share these out with the community in advance so you can find people to talk to!F﻿irst time? Learn more about our meetup:As a community organization connecting activists, investors, policymakers, entrepreneurs, artists, academics, jobseekers, and climate leaders, we are dedicated to uniting local communities around deploying climate solutions equitably.This monthly meetup is a casual and accessible way to connect with others in the climate community. Whether you're a seasoned climate expert or just starting to explore your interest in this vital issue, you'll find a welcoming and supportive community at NY Climate Tech.At this event, you'll have the opportunity to network, exchange ideas, and learn more about what's happening in the world of climate tech. So come on out and be a part of building a better future for our city and beyond!The event is free and open to all, but please RSVP to help us know how many people will attend! We can't wait to see you there.Want to hear about other climate events in the city? Sign up for our events newsletter: https://nyclimatetech.substack.com"
Climate Fresk and Dinner at Eat Offbeat (Chelsea Market) - Junel Edition,Play a 3h Climate Change Game and have dinner discovering the best home cooking from around the world made with love by refugee chefs in NY,6/8/23 17:30,6/8/23 21:00,"Chelsea Market, 75 9th Avenue New York, NY 10011",NYC,https://www.eventbrite.com/e/climate-fresk-and-dinner-at-eat-offbeat-chelsea-market-junel-edition-tickets-586113279597,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/climate-fresk-org-hosted-by-eat-offbeat-53609557293,"Want to help tackle climate change but don’t have the time to become a climate scientist? Join us for this fun and informative Game + Dinner night that has already been played by >1 M people worldwide!!In just 3 hours, the collaborative Climate Fresk workshop will teach you the fundamental science behind climate change and empower you to take action. The workshop will take place at Eat Offbeat and will include a full dinner featuring the best home cooking from around the world made with love by refugee chefs in NYC."
FoodHack NYC Meet Up: Advances in Agriculture,Join us for our next FoodHack NYC Meetup in collaboration with Newlab for a discussion about advances in agriculture!,6/8/23 18:30,6/8/23 20:30,"Newlab, 19 Morris Ave Brooklyn, NY 11205",NYC,https://www.eventbrite.com/e/foodhack-nyc-meet-up-advances-in-agriculture-tickets-636774528757,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/foodhack-13624342445,"Join us for our next FoodHack NYC meetup in collaboration with Newlab! Hear a panel of experts discuss advances in agriculture and how new technologies are reframing our food system.  T﻿his event will feature speakers from AeroFarms, Re-Nuble, Farmshelf and more! FoodHack meetups are for entrepreneurs, professionals, investors and food enthusiasts to network and hear from food industry speakers.Whether you're just starting your food business, looking to connect with startups to invest in or want to network with other like-minded professionals - this event is for you.K﻿ey Details:Topic: Advances in Agriculture: how new technologies are reframing our food systemDate:  June 8Hour:  6:30pm-8:30pm ETLanguage: English V﻿enue: Newlab, Brooklyn Navy Yard, 19 Morris Ave, Brooklyn, NY 11205, United StatesA﻿genda:Introductions from FoodHack NYC and NewlabPanel and Q&AP﻿itches from the audienceFood from our incredible local partners and networkingPitch: Are you launching a new product? Are you looking for your next R&D expert or your next CEO? Are you looking for a job or an internship? Join our 30-second pitch session and share your business update with the audience (open to anyone). About the Organizer:FoodHack is a community-driven platform that inspires, highlights and connects food entrepreneurs and innovators. With meetups across the globe, a bi-weekly food industry newsletter, a membership program and an annual summit.About the Host:Newlab is a center of invention applying innovation to some of the world’s most complex challenges in mobility, energy, and materials. The heart of Newlab is its community of inventors, engineers, scientists and entrepreneurs collaborating with partners across industries and sectors. Newlab pairs these solvers with challenges and fosters a culture of relentless incrementalism applied to real-world problems to build, test and scale world-changing solutions.About the Panelists:Tinia Pina - Founder & CEO of Re-Nuble Inc.Tinia Pina has a B.S. in Business Information Technology from Virginia Tech. She began her career in sustainability as a former student pursuing a Masters of Science degree at Columbia University prior to becoming the CEO and Founder of Re-Nuble, Inc., an agricultural technology company and social enterprise headquartered in New York City. A strong advocate for sustainable waste management and closed loop agriculture, she has been involved in management and business development roles within the sustainability industry for at least ten years and in finance for eight years. Her professional interests focus on using unique and distributed technologies to extract the optimal value from organic waste streams for closed-loop agriculture for growers.Kaitlin Riley - Associate Plant Scientist at AerofarmsKaitlin Riley (she/her) is an Associate Plant Scientist in the Research and Development department at AeroFarms. Her work entails trialing and optimizing the growth of new plant varieties, improving current growing procedures, and collaborating with partner companies. She graduated from Stony Brook University in 2018 with a degree in Biology and has been with AeroFarms for four years.Jessica Monte - Head of Product, R&D at FarmshelfJessica Monte began her career in sustainability in 2014 as a research assistant on a grant funded by The Sustainable Agriculture Research and Education (SARE) program, while obtaining her B.S. from the Department of Plant Science and Plant Pathology at Montana State University. She has over a decade of experience in environmental science, and has spent the last 7 years immersed in the hardware and technology verticals. It was the symbiosis of the aforementioned industries that drew her to the plant science department of Farmshelf in 2018. Marrying hydroponic grow techniques with modular hardware and intelligent software, farmshelf aims deliver the ultimate growing experience for corporate food service, restaurants, schools, and individuals. Jessica is now the Head of Product, R&D at Farmshelf. She is a huge advocate for academic and industry collaboration. She believes that the advantages that are gained in their coexistence are inextricably linked for creating a path to a sustainable future. Sara Nejad (moderator) -Product Realization Specialist at NewlabSara is an innovation strategist, specializing in the convergence of design thinking, biology, and systems thinking. At Newlab, she spearheads the applied life science program and biolab, facilitating interdisciplinary innovation and fostering a diverse and collaborative network of biotech innovators in NYC and beyond.Sara holds a Master of Science in Integrated Design and Media from NYU, where she focused on circular design and sustainable food systems. An experienced educator, she has taught a graduate course in Biodesign at NYU, and conducted workshops on speculative and multispecies design at the MIT MediaLab and Genspace.T﻿his event is free but registration is mandatory. Please let us know if you can't attend so we can release your ticket for someone else. Thank you!"
Climate Fresk Workshop,A fun and informative workshop that teaches the fundamental science behind climate change and empowers people to take action,6/10/23 10:00,6/10/23 13:00,"21 A Clinton Street New York, NY 10002",NYC,https://www.eventbrite.com/e/climate-fresk-workshop-tickets-622642900677,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/caveat-13580085802,"Want to help tackle climate change but don’t have the time to become a climate scientist? Join us for this fun and informative workshop that has already been played by >1M people worldwide!In just 3 hours, the collaborative Climate Fresk workshop will teach you the fundamental science behind climate change and empower you to take action.W﻿atch an example of the workshop here."
Climate Designers NYC x Brooklyn Grange Farm Tour,"Join other sustainability-minded designers for an urban farm tour at Brooklyn Grange, followed by a debrief at Transmitter Brewing",6/10/23 12:00,6/10/23 15:00,"Brooklyn Grange @ Brooklyn Navy Yard, 63 Flushing Avenue Brooklyn, NY 11205",NYC,https://www.eventbrite.com/e/climate-designers-nyc-x-brooklyn-grange-farm-tour-tickets-629260082847,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/climate-designers-nyc-59723688703,"Climate Designers NYC is celebrating summer Chapters' Week with an urban farm tour, followed by a social and networking hangout. Join us to connect with other local sustainability-minded designers, share ideas, find collaborators, and get inspired! We'll be starting the event with a 1-hour tour of the rooftop farm at Brooklyn Grange Navy Yard. After the tour, we'll move on to Transmitter Brewing for a social and networking gathering. Please arrive 10 minutes early for the tour!"
A Fun Play about How Scary Climate Change Is,"A comedic, site-specific devised free public theater in waterfront parks across NYC about striving for hope (not despair) in the face of climate change, with fantastical swamp creatures to teach us these lessons, featuring artist Sabina Sethi Unni",6/10/23 15:00,6/10/23 16:00,"Rockaway Beach Boardwalk Queens, NY 11693",NYC,https://www.eventbrite.com/e/a-fun-play-about-how-scary-climate-change-is-tickets-640884381437,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/amanda-james-10040051820,"A Fun Play about How Scary Climate Change Is is a comedic, site-specific devised free public theater in waterfront parks across NYC about striving for hope (not despair) in the face of climate change, with fantastical swamp creatures to teach us these lessons, featuring artist Sabina Sethi Unni.Presented as part of Amanda + James' Summer Happenings Festival: CoastlinesAbout the Festival:The Summer Happenings Festival returns to the parks of New York City with its offerings of free, public performance art from Friday, June 9th to Sunday, June 18th. Curated by Amanda + James in partnership with Asia Stewart, The third iteration of Summer happenings is centered on the theme of coastlines.Too often, many of us rush through New York City and forget that we live on a series of islands whose natural landscape has been adapted and shaped by generations of forgotten inhabitants.  We neglect our land’s past: the violence that resides in soil stolen from the Lenape people (including the Wappinger, Munsee Lenape, Schaghticoke, Canarsie, Matinecock, and Lekawe nations). We look past the waterways’ paths; many brush up against terminals, docks, and piers and have been constructed for and destroyed by cycles of trade, capital, and exchange. As coastal living becomes increasingly precarious with climate change, we hope you will consider the history, value, beauty, and fragility of our brackish borders. Our presence here is not neutral."
Baldwin's Ni$$er - play reading,"A play by Reginald T Jackson. One night only reading about the life, love and struggles of national treasure James Baldwin.",6/10/23 19:00,6/10/23 20:30,"151 W. 30th St 3rd Floor New York, NY 10001",NYC,https://www.eventbrite.com/e/baldwins-nier-play-reading-tickets-635579083147,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/the-sixth-festival-46517558393,"The third annual Sixth Fest, a climate change fringe festival aiming to help stop the destruction of the planet with events of all kinds from participants in New York and beyond, presents an exciting reading of..Baldwin's Ni$$erby Reginald T Jackson90 minutes. 2 person show.About:Approached by a white male, stranger offering a million dollars for the Civil Rights Movement, Baldwin invites this friend or foe to his room at midnight. They immediately spar like prize fighters trying not to get hit, but provocation leads to conflict and lust. Will both get what they want or will someone be exposed and left in a fetal ball of defeat?With a former Off Broadway run at the Strawberry Theatre Festival and a debut in the nation's capitol at The DC Black Theatre Festival, Jackson and the Sixth Fest are excited to once again present this prophet's timeless perspective in New York.Reviews:""...what makes Baldwin’s Ni$$er such a rewarding theatrical experience is not this sensational twist but the adroit way the play as a whole teleports to us the brilliance of James Baldwin. For this much credit is due to..Reginald T. Jackson’s engrossing script..."" DC METRO REVIEW ""A play well worth seeking out."" GUEST SCRIBEAbout the Author:In 1994 Mr. Jackson was named a National Shakespeare Pioneer by the New York Shakespeare Festival of the Joseph Papp Public Theater for HOUSE OF LEAR. He has also received a New York City Mayor's Citation and an Arts and Cultural Foundation Award for his work in Arts-In-Education -- teaching creative writing throughout the New York City School System. His play STRAIGHT BOYS was named the best gay play of the decade by the New York City Gay Cable Network. He was commissioned to write and direct a musical on the life of Aretha Franklin, ""ARETHA: Queen of Soul"" by the St. Pauli Theater of Hamburg Germany, and a musical based on 70's R&B group, The Emotions, BIGGER THAN BUBBLE GUM, for Lincoln Center. His play, LOVESICKNESS has been used as a teaching tool at NYU. His Books THIS MORNING I WOKE UP BLACK and HEJIRA: From Cradle To Grave were both nominated for the 2008 AND 2009 Lambda Literary Foundation's Poetry Award. They are both available through online book retailers.PLAY'S WEBSITE and information on further booking.About the Festival:Named after the sixth mass extinction event currently underway, the Sixth Fest has put on more than 40 events and productions in New York, Chicago, and online. From poetry to panels, pageants to protests, we are a fringe festival both in that we encourage people to create their own events, and that those events can be of whatever kind. For all life on earth.FIND OUT MORE ABOUT THE 2023 FESTIVAL HAPPENING JUNE 1 - 11"
COLOR: Bacteria Dyeing + Extinction,"In this workshop, participants will explore color theory through learning to dye and silkscreen with bacteria.",6/11/23 10:00,6/18/23 13:00,"Genspace, 132 32nd Street #108 Brooklyn, NY 11232",NYC,https://www.eventbrite.com/e/color-bacteria-dyeing-extinction-tickets-631828575277,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/genspace-nyc-1772564701,"Image Credit: Conjured by Elaine Young @LAByrinthPROJECT | Midjourney+Photoshop2﻿ - part workshop: Sunday June 11,  10AM-1PMSunday, June 18, 10AM-1PMAre the industrial realities behind pigments antithetical to their cultural meaning? Would you stop wearing your favorite color if you disagreed with the methods by which it was made? Are the colors and materials we use to depict the future in science fiction storytelling possible, given what we now know about their environmental impact? In this workshop, participants will dive into the exciting world of bacterial pigments and explore their integration into artwork through the dynamic techniques of block printing and silk screen printing. While thinking critically about their real world applications. We will cover the basics of how to select, grow and maintain the bacteria as your medium - and the challenges to the durability and life cycle of bacterially pigmented items.Hands-on sessions will be contextualized within a framework that maps the industrial and cultural histories of color and textile dyeing alongside current speculative and realworld trends in the production and utilization of biopigments.We will consider the science and sociopolitical forces driving industry at critical junctures leading to our current anti-fast-fashion climate. Our intention is to come away with an action each of us can do on our own, and that one person we know will adopt that brings us a little closer to a better fashion future. Participants will leave this workshop with:an appreciation for the connection between the materials of a pigment and their cultural meaning on our expectations of the aesthetics of the futureknowledge of the history and challenges to wide-spread adoption of biopigmentsa tote bag with their own design, printed with bacteria pigment (*participants may bring their own cotton or silk item to print on)alternative ways of thinking about the origins and meanings of colorsan informed perspective about how a color could go extinctCOVID-19 Safety Notice:If you are feeling unwell, suspect that you have been exposed to COVID-19 or have tested positive in the past 7 days, please do not attend and let us know ASAP (info@genspace.org). If you cancel after our 7-day policy, we cannot refund your ticket, but we can exchange and offer credits toward future classes. If you have signed up for Biohacker Boot Camp, we will automatically transfer your registration to the next month’s dates unless you tell us otherwise.Meet the InstructorElaine Young 楊綺鈴 (Yang Yi Ling) |  STUDIOPHORIA (she/her) is an artist and designer with a background in bioethics and medical anthropology. Elaine’s wearable statements attract people to engage in questions concerning the effects of technology on the politics of how we know, define, value and govern biodiversity, the body and bodies in real life and across realities as a material, data and souls. Her works incorporate DNA (extracted from people, pets and plants), scientific images (real and AI generated) and geopolitical data into wearable statements and questions about the future of humanness. Elaine is an alumni of New Inc - the New Museum's cultural incubator for artists and entrepreneurs working at the intersection of art, design and technology. Notable retailers of Elaine's designs include the MoMA Design Store, Mori Museum Art and Design Shop in Tokyo and the gift shop for the ‘David Bowie Is…’ show at the Museum of Contemporary Art in Chicago.See her work at www.studiophoria.com   @LAByrinthPROJECT  Meet the InstructorAradhita Parasrampuria (she/her) is a materials designer originally from India, based in New York. Parasrampuria combines synthetic biology with fashion to create climate-conscious, ethical, and economical textiles to replace toxic petroleum-based materials. She works primarily with raw materials such as Microalgae, Escherichia coli, and Cellulose. Parasrampuria received recognition on Indian Forbes 30 under 30 2023 list in the climate change category. She has also been awarded the Swarovski Foundation's ""Creatives For Our Future"" grant and the Aronson Fellowship from Tishman Environment and Design Center. Her work has been showcased in prominent events and publications such as United Nations, COP27, Vogue, L'officiel Brazil, CFDA, Dezeen, No-Kill Magazine, New York Design Week, Portland Textile Month, Mana Contemporary, and Talking Textiles.Follow her on Instagram @aradhitapara"
MIT Sloan Sustainability Initiative NYC Alumni Meetup,A cocktail-style event with other NYC-area sustainability certificate alumni,6/13/23 18:00,6/13/23 20:00,"1995 Broadway #17th floor New York, NY 10023",NYC,https://www.eventbrite.com/e/mit-sloan-sustainability-initiative-nyc-alumni-meetup-tickets-642316354507,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/mit-sloan-sustainability-initiative-46750719173,"Sip, socialize, and spark new connections at our MIT Sloan Sustainability Initiative Alumni Networking Event in NYC, where you can engage with the Sustainability Initiative team and fellow sustainability certificate alumni during this cocktail-style event. This event is being hosted by MUUS Climate Partners (MCP).MUUS Climate Partners (MCP) is a NY-based climate VC firm that invests at the convergence of tech and decarbonization, focusing on technologies that have the most carbon reduction potential. MCP’s diverse and entrepreneurial team members have built new ventures, advanced climate policy and led corporate initiatives around decarbonization. MCP is an affiliate of MUUS & Company, the private investment firm of MIT alum, serial entrepreneur, and TIGER21 founder Michael Sonnenfeldt. T﻿his event is being hosted by three MIT Sloan alumni: Michael Sonnenfeldt, Kavita Patel, and Ben Wolkon.MIT Sloan Sustainability Initiative NYC Alumni MeetupDate: Tuesday, June 13th Time: 6-8pmLocation: MUUS Climate Partners; 1995 Broadway 17th Floor, New York, NY 10023P﻿lease bring identification for security check-in.  Business casual attire.I﻿f you have dietary restrictions, please notify Jen Graham at grahamjb@mit.edu"
Out in Climate - NYC Pride Month Mixer hosted by Tishman Speyer,Celebrate Pride Month with your fellow LGBTQ+ professionals working in climate!,6/13/23 18:30,6/13/23 21:30,"600 5th Ave 2nd Floor New York, NY 10111",NYC,https://www.eventbrite.com/e/out-in-climate-nyc-pride-month-mixer-hosted-by-tishman-speyer-tickets-607857707767,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/out-in-climate-47039818803,"J﻿oin us to celebrate Pride Month with a mixer hosted by Tishman Speyer!About Studio by Tishman Speyer:Exceptional spaces for the future of flexible workThe world’s leading companies choose Studio by Tishman Speyer for flexible workspace with no compromises.  Operating over one million square feet of business-class coworking, event space and move-in ready office suites, Studio is the world's largest owner-operated flex space network and a pioneer in delivering holistic real estate solutions from long-term leases to desks on demand.-﻿-Out in Climate is a non-profit dedicated to building a community among LGBTQ+ professionals in the climate space. Our mission is to foster networking, community-building, and mentoring, and to help connect folks with opportunities and resources in the space. Sign up for our newsletter at outinclimate.com"
"Beyond Federally-Funded Buyouts – Local Policies, Tools and Funding",This virtual panel explores innovative approaches and tools for local governments and communities to overcome equity and implementation challenges associated with federal disaster resources.,6/14/23 12:00,6/14/23 13:30,Online Event,Online,https://www.climate.columbia.edu/events/beyond-federally-funded-buyouts-local-policies-tools-and-funding,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,,"Beyond Federally-Funded Buyouts – Local Policies, Tools and Funding Streams
While federal resources are critical for providing relocation support to thousands of people living in the U.S., national policies and programs are falling short in addressing the urgency, scale, and complexity of climate-driven displacement. When it comes to buyouts and property acquisitions, accessing federal funds poses significant challenges. Restrictive requirements and lengthy bureaucratic processes can hinder local governments from developing compassionate and locally-responsive programs that prioritize community needs. To overcome these hurdles, local governments can leverage local funding sources to reduce their reliance on federal disaster dollars. By diversifying funding sources, local governments can not only expand relocation assistance beyond individual home buyouts, but also align their programs with local values and broader resilience goals.
Join us for an engaging conversation as we explore innovative approaches and tools for local governments and communities to overcome equity and implementation challenges associated with federal disaster resources. In this webinar, moderated by Urban Ocean Lab (UOL), our panel of experts, including representatives from local governments and nonprofits, will share valuable insights from their experiences on leveraging local funding sources for more just and holistic approaches to climate-driven relocation.
This virtual panel is presented by Urban Ocean Lab, in partnership with Columbia University's Climate School as part of the 2023 conference At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change
Moderator: Erica Asinas, Policy Advisor at Urban Ocean Lab
Panelist Bios:
Brendan Shane, Climate Director at Trust for Public Land
Louise Yeung, Chief Climate Officer at the New York City Comptroller Office
Johanna Lovecchio, Associate Director of the Center for Resilient Cities and Landscapes at Columbia University
Tim Trautman, Flood Mitigation Program Manager at Charlotte-Mecklenburg County
About Urban Ocean Lab
Urban Ocean Lab is a think tank that cultivates rigorous, creative, equitable, and practical climate and ocean policy for the future of coastal cities.
Register here on Eventbrite: https://beyond-buyouts.eventbrite.com
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Climate School Events
      
                                                                                          
            events@climate.columbia.edu"
