Event Name,Short Description,Start,End,Location,City,Relevance,Event URL,Extra1,Extra2,Source CSV,Full_description
At What Point Managed Retreat?,Habitability and Mobility in an Era of Climate Change,2023-06-20 14:00,2023-06-23 15:00,"Lerner Hall, 2920 Broadway, New York, NY 10027",New York,TRUE,https://www.climate.columbia.edu/events/what-point-managed-retreat-0,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change
Building on the success of the 2019 and 2021 conferences on Managed Retreat, the Columbia Climate School is pleased to announce that the next conference, At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change, will be held from June 20-23, 2023, at Columbia University.
Registration for the conference is now open. In-person and virtual attendance options are available. Please visit the conference website for details on the program, registration fees, travel information, and more.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Adrienne Kenyon
      
                                                                                          
            akenyon@climate.columbia.edu"
2023 International Regulatory Futures Forum,"Panel discussion on ""Electricity System Decarbonization: Where we Stand and the Challenges Ahead.""",2023-06-15 17:00,2023-06-15 18:30,"Columbia Law School, 435 W. 116 St., New York, NY 10027 William and June Warren Hall 309",New York,FALSE,https://www.climate.columbia.edu/events/2023-international-regulatory-futures-forum,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Register on CU Events 
                      
                                                              
                        
            Panel discussion on ""Electricity System Decarbonization: Where we Stand and the Challenges Ahead."" This event is not part of the International Regulatory Futures Forum.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Kemi Adetayo
      
                                                                    
            212 854 8213
      
                                                                    
            aa3547@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events"
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-06-15 14:00,2023-06-15 15:00,Online,,TRUE.,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-29,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Events

          
            
                      Current and Upcoming
                  
        
        Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.

        

        
            
                
                    
                      Share
                    
                    
                      Add to Calendar:
                        
                                                        Calendar / Outlook
                                                        Google
                            Yahoo
                        
                    
                

                
                
                  
                    
                      
                      
                        June 15, 2023
                        2:00 PM - 3:00 PM
                                                America/New_York
                                                                                              
                    

                                        
                      
                      
                        
                          
                 Online 
      
                        

                                              
                    
                                      
                

                
                  
                                                                                  
                        
            The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-06-15 14:00,2023-06-15 15:00,,Online,,TRUE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-29,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
Climate LIVE K12: Harnessing the Power of Communities,Online event about climate-driven flooding and how to protect vulnerable communities,2023-06-14 16:00,2023-06-14 17:00,N/A,N/A,TRUE.,https://www.climate.columbia.edu/events/climate-live-k12-harnessing-power-communities,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Events

          
            
                      Current and Upcoming
                  
        
        Climate LIVE K12: Harnessing the Power of Communities

        

        
            
                
                    
                      Share
                    
                    
                      Add to Calendar:
                        
                                                        Calendar / Outlook
                                                        Google
                            Yahoo
                        
                    
                

                
                
                  
                    
                      
                      
                        June 14, 2023
                        4:00 PM - 5:00 PM
                                                America/New_York
                                                                                              
                    

                                        
                      
                      
                        
                          
                 Online Event 
      
                        

                                              
                    
                                      
                

                
                  
                                                                
                        Register on CU Events 
                      
                                                              
                        
            Climate LIVE K12: Harnessing the Power of Communities to Fight Flooding and Protect Our Waterways 
Climate LIVE K12 (formerly EI LIVE K12) is dedicated to bringing the science of sustainability to K12 students, educators, and parents.
About this Event 
Presenter:  Paul Gallay, Senior Staff Associate and Resilient Coastal Communities Project Leader, Center for Sustainable Urban Development 
Target Audience: Grades 9-12, Undergraduate, Educators, and the Public 
Climate-driven flooding is worsening due to sea level rise and rapidly intensifying storms, with many of the most serious impacts being felt in disadvantaged communities already reeling from decades of underinvestment in water quality and ecosystem health. To protect our most vulnerable communities, government planners must find new ways to respect and center the wisdom that only those communities possess. Can we build the just and equitable partnerships we'll need to survive climate change?
A link to join the session will be provided to all registered participants 24 hours in advance.
If you would like to submit any questions before the event, please send them to Laurel Zaima-Sheehy (lzaima@climate.columbia.edu)
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Laurel Zaima-Sheehy
      
                                                                    
            332-330-1855
      
                                                                    
            lnz2104@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events"
Climate LIVE K12: Harnessing the Power of Communities,A presentation on climate-driven flooding and the need for just partnerships to survive climate change,2023-06-14 4:00 PM,2023-06-14 5:00 PM,Online Event,New York,TRUE,https://www.climate.columbia.edu/events/climate-live-k12-harnessing-power-communities,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Register on CU Events 
                      
                                                              
                        
            Climate LIVE K12: Harnessing the Power of Communities to Fight Flooding and Protect Our Waterways 
Climate LIVE K12 (formerly EI LIVE K12) is dedicated to bringing the science of sustainability to K12 students, educators, and parents.
About this Event 
Presenter:  Paul Gallay, Senior Staff Associate and Resilient Coastal Communities Project Leader, Center for Sustainable Urban Development 
Target Audience: Grades 9-12, Undergraduate, Educators, and the Public 
Climate-driven flooding is worsening due to sea level rise and rapidly intensifying storms, with many of the most serious impacts being felt in disadvantaged communities already reeling from decades of underinvestment in water quality and ecosystem health. To protect our most vulnerable communities, government planners must find new ways to respect and center the wisdom that only those communities possess. Can we build the just and equitable partnerships we'll need to survive climate change?
A link to join the session will be provided to all registered participants 24 hours in advance.
If you would like to submit any questions before the event, please send them to Laurel Zaima-Sheehy (lzaima@climate.columbia.edu)
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Laurel Zaima-Sheehy
      
                                                                    
            332-330-1855
      
                                                                    
            lnz2104@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events"
"Beyond Federally-Funded Buyouts – Local Policies, Tools and Funding",Join us for an engaging conversation as we explore innovative approaches and tools for local governments and communities to overcome equity and implementation challenges associated with federal disaster resources.,2023-06-14 12:00,2023-06-14 13:30,Online Event,,FALSE.,https://www.climate.columbia.edu/events/beyond-federally-funded-buyouts-local-policies-tools-and-funding,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Beyond Federally-Funded Buyouts – Local Policies, Tools and Funding Streams
While federal resources are critical for providing relocation support to thousands of people living in the U.S., national policies and programs are falling short in addressing the urgency, scale, and complexity of climate-driven displacement. When it comes to buyouts and property acquisitions, accessing federal funds poses significant challenges. Restrictive requirements and lengthy bureaucratic processes can hinder local governments from developing compassionate and locally-responsive programs that prioritize community needs. To overcome these hurdles, local governments can leverage local funding sources to reduce their reliance on federal disaster dollars. By diversifying funding sources, local governments can not only expand relocation assistance beyond individual home buyouts, but also align their programs with local values and broader resilience goals.
Join us for an engaging conversation as we explore innovative approaches and tools for local governments and communities to overcome equity and implementation challenges associated with federal disaster resources. In this webinar, moderated by Urban Ocean Lab (UOL), our panel of experts, including representatives from local governments and nonprofits, will share valuable insights from their experiences on leveraging local funding sources for more just and holistic approaches to climate-driven relocation.
This virtual panel is presented by Urban Ocean Lab, in partnership with Columbia University's Climate School as part of the 2023 conference At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change
Moderator: Erica Asinas, Policy Advisor at Urban Ocean Lab
Panelist Bios:
Brendan Shane, Climate Director at Trust for Public Land
Louise Yeung, Chief Climate Officer at the New York City Comptroller Office
Johanna Lovecchio, Associate Director of the Center for Resilient Cities and Landscapes at Columbia University
Tim Trautman, Flood Mitigation Program Manager at Charlotte-Mecklenburg County
About Urban Ocean Lab
Urban Ocean Lab is a think tank that cultivates rigorous, creative, equitable, and practical climate and ocean policy for the future of coastal cities.
Register here on Eventbrite: https://beyond-buyouts.eventbrite.com
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Climate School Events
      
                                                                                          
            events@climate.columbia.edu"
Critical Minerals in Latin America, A panel discussion on sustainable copper and lithium extraction in Latin America for the world's energy transition, 2023-06-05 12:00, 2023-06-05 14:00," Faculty House, 64 Morningside Dr., New York, NY 10027 Presidential Ballroom", New York, TRUE,https://www.climate.columbia.edu/events/critical-minerals-latin-america,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Register on CU Events 
                      
                                                              
                        
            12:00-12:30 p.m. EDT (In-Person Reception)
12:30-2:00 p.m. EDT (In-Person & Livestream Meeting)
As the world transitions from consuming fossil fuels-based energy into low-carbon energy sources, demand for copper, lithium, nickel, and other minerals will increase for things like electric mobility, solar panels, wind turbines, and energy storage. However, the world is not on track to get these minerals at current rates. The world’s demand for lithium is projected to increase by 40 times and that for copper to potentially double by 2040 relative to 2020 levels. 
Latin America has the world’s largest deposits of both copper and lithium. Chile and Peru are the world’s leading copper producers with about 40% of global production, while Chile and Argentina account for 32% of global lithium supply. However, Latin America faces a number of social, political, environmental, and financial challenges to increase its critical minerals extraction and processing capacity. 
The Center on Global Energy Policy at Columbia University’s School of International and Public Affairs will host a panel of experts to discuss what needs to be done to accelerate sustainable copper and lithium extraction in Latin American countries. This event will focus on the challenges and opportunities that governments and industry face to turn these mineral reserves into a bridge for the energy transition globally. Light refreshments will be provided.
Panelists:
María José Baptista, Interagency and Intergovernmental Affairs Officer, United Nations Environment Programme
Juan Carlos Jobet, Distinguished Visiting Fellow at the Center on Global Energy Policy  at Columbia University SIPA; Dean, School of Business, Universidad Adolfo Ibáñez; Former Minister of Energy and Mining, Chile
Tom Moerenhout, Research Scholar, Center on Global Energy Policy at Columbia University SIPA; Adjunct Associate Professor of International and Public Affairs, Columbia University SIPA; Adjunct Assistant Professor, New York University Stern School of Business; Senior Advisor, World Bank
Moderator:
Diego Rivera Rivota, Research Associate, Center on Global Energy Policy at Columbia University SIPA
---
This event will be hosted in person in New York City and live streamed via Zoom.
Advance registration is required. Upon registration, you will receive a confirmation email. The event will be recorded and the video recording will be added to our website following the event.
This event is open to press, and registration is required to attend. For media inquiries or requests for interviews, please contact Natalie Volk (nv2388@columbia.edu).
For more information about the event, please contact energypolicyevents@columbia.edu.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Center on Global Energy Policy
      
                                                                                          
            energypolicyevents@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events"
Climate Finance Solutions for Latin America,A discussion on the trends and challenges of financing the transition in Latin America. The discussion aims to spread awareness of the relevance of DFIs in committing capital (either debt or equity) aligned with COP27.,2023-06-01 15:00,2023-06-01 16:30,Online Event,,TRUE,https://www.climate.columbia.edu/events/climate-finance-solutions-latin-america,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Climate Finance Solutions for Latin America: The role of Development Financial Institutions in financing mitigation and adaptation infrastructure in Latin America
Join us for a discussion on the trends and challenges of financing the transition in Latin America. The discussion aims to spread awareness of the relevance of DFIs in committing capital (either debt or equity) aligned with COP27.
Speakers:
Goldie Schturman, Managing Director, Latin America Investment Funds at DFC
Elizabeth Layton, Investment Management Officer, Inter American Development Bank
Moderator: Dr. Satjayit Bose (cc)
Organized by Ignacio Neri, Master of Science in Sustainability Management, Columbia University; Earth Institute SUMA Fellow
Hosted by the Columbia Environmental Entrepreneurs Association, Verdonck Partners, and the Columbia Climate School.
Please register here: https://columbiauniversity.zoom.us/webinar/register/WN_DlWOLrgDSuewYzwltPM2kw 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Ignacio Neri
      
                                                                                          
            jin2112@columbia.edu"
Earth Protectors Multimedia Climate Change Awareness Event,An event aiming at bringing the artistic and scientific community together with the public to reflect on the danger human and non-human life is running as a consequence of global warming,2023-05-27 18:30,2023-05-27 20:30,"27 Barrow St, NYC",NYC,TRUE,https://www.climate.columbia.edu/events/earth-protectors-multimedia-climate-change-awareness-event,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Event location: Greenwich House Music School, 27 Barrow St, NYC
Pianist Francesca Khalifa and composer Brian Field present Earth Protectors, an event aiming at bringing the artistic and scientific community together with the public to reflect on the danger human and non-human life is running as a consequence of global warming.
Featuring works by photographer/director and environmentalist Anne de Carbuccia and composer Brian Field. Following the performance there will be a panel discussion moderated by journalist and music critic George Grella and featuring Dr. Brenda Ekwurzel, climate scientist and director of climate science for the Union of Concerned Scientists; Dr. Andrew Kruczkiewicz, climate scientist at the International Research Institute for Climate and Society; composer Brian Field; pianist Francesca Khalifa.
Purchase tickets on Eventbrite: https://www.eventbrite.com/e/earth-protectors-tickets-635630135847
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Brian Field
      
                                                                                          
            brianfield@yahoo.com"
"Sustain What?  Doing Journalism on the ""Outlaw Ocean"""," Join journalist Andy Revkin of the Columbia Climate School in an exploration of one of the most important, innovative and dangerous journalism efforts on Earth – the Outlaw Ocean Project.", 2023-05-26 1:00 PM, 2023-05-26 2:00 PM, Online, America, TRUE.,https://www.climate.columbia.edu/events/sustain-what-doing-journalism-outlaw-ocean,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Join journalist Andy Revkin of the Columbia Climate School in an exploration of one of the most important, innovative and dangerous journalism efforts on Earth – the Outlaw Ocean Project.


The featured guest is project founder and Pulitzer-winning journalist Ian Urbina (possibly more)


Explore this prize-winning, globe-spanning, multimedia reporting project here:

https://www.theoutlawocean.com/dispatches/


From unregulated fishing to the rush to mine the sea floor, the ocean beyond national economic boundaries is full of urgent stories, but short on news bureaus.
Please click here for more information and viewing options;  https://www.earth.columbia.edu/videos/view/doing-journalism-on-the-outlaw-ocean


More soon on Revkin's companion Sustain What dispatch at:

https://revkin.substack.com
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Andy Revkin
      
                                                                                          
            ar667@columbia.edu"
Geoengineering: A short-term mitigation for climate change?, A discussion about challenges and opportunities on the field, 2023-05-25 15:00, 2023-05-25 16:30,Online Event,New York,TRUE,https://www.climate.columbia.edu/events/geoengineering-short-term-mitigation-climate-change,,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/columbia_climate.csv,"Geoengineering: A short-term mitigation for climate change? A discussion about challenges and opportunities on the field
 
Speakers:
Leslie Field, Founder of Bright Ice Initiative, https://brighticeinitiative.org/ 
Andrew Song, Co-Founder of Making Sunsets,  https://makesunsets.com/
Moderator: Catherine Clifford, Climate Innovation and Technology reporter, CNBC
Organized by Ignacio Neri, Master of Science in Sustainability Management, Columbia University; Earth Institute SUMA Fellow
Hosted by the Columbia Environmental Entrepreneurs Association, Verdonck Partners, and the Columbia Climate School
Please register here: https://columbiauniversity.zoom.us/webinar/register/WN_mXusWod4Qfi6M5hHPIezug
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Ignacio Neri
      
                                                                                          
            jin2112@columbia.edu"
