Event Name,Short Description,Start,End,Location,City,Relevance,Event URL,Extra1,Extra2,Source CSV,Full_description,organizer_link,organizer_link-href,full_description,web-scraper-start-url,event_details,event_details-href,Link,Full_Description
At What Point Managed Retreat?,Habitability and Mobility in an Era of Climate Change,2023-06-20 14:00,2023-06-23 15:00,"Lerner Hall, 2920 Broadway, New York, NY 10027",New York,TRUE,https://www.climate.columbia.edu/events/what-point-managed-retreat-0,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change
Building on the success of the 2019 and 2021 conferences on Managed Retreat, the Columbia Climate School is pleased to announce that the next conference, At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change, will be held from June 20-23, 2023, at Columbia University.
Registration for the conference is now open. In-person and virtual attendance options are available. Please visit the conference website for details on the program, registration fees, travel information, and more.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Adrienne Kenyon
      
                                                                                          
            akenyon@climate.columbia.edu",,,,,,,,
2023 International Regulatory Futures Forum,"Panel discussion on ""Electricity System Decarbonization: Where we Stand and the Challenges Ahead.""",2023-06-15 17:00,2023-06-15 18:30,"Columbia Law School, 435 W. 116 St., New York, NY 10027 William and June Warren Hall 309",New York,FALSE,https://www.climate.columbia.edu/events/2023-international-regulatory-futures-forum,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Register on CU Events 
                      
                                                              
                        
            Panel discussion on ""Electricity System Decarbonization: Where we Stand and the Challenges Ahead."" This event is not part of the International Regulatory Futures Forum.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Kemi Adetayo
      
                                                                    
            212 854 8213
      
                                                                    
            aa3547@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events",,,,,,,,
IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,2023-06-15 14:00,2023-06-15 15:00,,Online,,FALSE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-29,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Events

          
            
                      Current and Upcoming
                  
        
        Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.

        

        
            
                
                    
                      Share
                    
                    
                      Add to Calendar:
                        
                                                        Calendar / Outlook
                                                        Google
                            Yahoo
                        
                    
                

                
                
                  
                    
                      
                      
                        June 15, 2023
                        2:00 PM - 3:00 PM
                                                America/New_York
                                                                                              
                    

                                        
                      
                      
                        
                          
                 Online 
      
                        

                                              
                    
                                      
                

                
                  
                                                                                  
                        
            The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu
      
                                                                
                    
                                                                  
                  

                                                        
                      AddThis Sharing ButtonsShare to FacebookFacebookShare to TwitterTwitterShare to LinkedInLinkedInShare to PrintPrint",,,,,,,,
IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-06-15 14:00,2023-06-15 15:00,Online,,TRUE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-29,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
Climate LIVE K12: Harnessing the Power of Communities,"A session dedicated to bringing the science of sustainability to K12 students, educators, and parents",2023-06-14 16:00,2023-06-14 17:00,Online Event,New York,TRUE,https://www.climate.columbia.edu/events/climate-live-k12-harnessing-power-communities,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Events

          
            
                      Current and Upcoming
                  
        
        Climate LIVE K12: Harnessing the Power of Communities

        

        
            
                
                    
                      Share
                    
                    
                      Add to Calendar:
                        
                                                        Calendar / Outlook
                                                        Google
                            Yahoo
                        
                    
                

                
                
                  
                    
                      
                      
                        June 14, 2023
                        4:00 PM - 5:00 PM
                                                America/New_York
                                                                                              
                    

                                        
                      
                      
                        
                          
                 Online Event 
      
                        

                                              
                    
                                      
                

                
                  
                                                                
                        Register on CU Events 
                      
                                                              
                        
            Climate LIVE K12: Harnessing the Power of Communities to Fight Flooding and Protect Our Waterways 
Climate LIVE K12 (formerly EI LIVE K12) is dedicated to bringing the science of sustainability to K12 students, educators, and parents.
About this Event 
Presenter:  Paul Gallay, Senior Staff Associate and Resilient Coastal Communities Project Leader, Center for Sustainable Urban Development 
Target Audience: Grades 9-12, Undergraduate, Educators, and the Public 
Climate-driven flooding is worsening due to sea level rise and rapidly intensifying storms, with many of the most serious impacts being felt in disadvantaged communities already reeling from decades of underinvestment in water quality and ecosystem health. To protect our most vulnerable communities, government planners must find new ways to respect and center the wisdom that only those communities possess. Can we build the just and equitable partnerships we'll need to survive climate change?
A link to join the session will be provided to all registered participants 24 hours in advance.
If you would like to submit any questions before the event, please send them to Laurel Zaima-Sheehy (lzaima@climate.columbia.edu)
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Laurel Zaima-Sheehy
      
                                                                    
            332-330-1855
      
                                                                    
            lnz2104@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events 
                      
                                          
                  

                                                        
                      AddThis Sharing ButtonsShare to FacebookFacebookShare to TwitterTwitterShare to LinkedInLinkedInShare to PrintPrint",,,,,,,,
Climate LIVE K12: Harnessing the Power of Communities,"Presenter: Paul Gallay, Senior Staff Associate and Resilient Coastal Communities Project Leader, Center for Sustainable Urban Development",2023-06-14 16:00,2023-06-14 17:00,Online Event,New York,TRUE,https://www.climate.columbia.edu/events/climate-live-k12-harnessing-power-communities,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Register on CU Events 
                      
                                                              
                        
            Climate LIVE K12: Harnessing the Power of Communities to Fight Flooding and Protect Our Waterways 
Climate LIVE K12 (formerly EI LIVE K12) is dedicated to bringing the science of sustainability to K12 students, educators, and parents.
About this Event 
Presenter:  Paul Gallay, Senior Staff Associate and Resilient Coastal Communities Project Leader, Center for Sustainable Urban Development 
Target Audience: Grades 9-12, Undergraduate, Educators, and the Public 
Climate-driven flooding is worsening due to sea level rise and rapidly intensifying storms, with many of the most serious impacts being felt in disadvantaged communities already reeling from decades of underinvestment in water quality and ecosystem health. To protect our most vulnerable communities, government planners must find new ways to respect and center the wisdom that only those communities possess. Can we build the just and equitable partnerships we'll need to survive climate change?
A link to join the session will be provided to all registered participants 24 hours in advance.
If you would like to submit any questions before the event, please send them to Laurel Zaima-Sheehy (lzaima@climate.columbia.edu)
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Laurel Zaima-Sheehy
      
                                                                    
            332-330-1855
      
                                                                    
            lnz2104@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events",,,,,,,,
"Beyond Federally-Funded Buyouts – Local Policies, Tools and Funding",This virtual panel explores innovative approaches and tools for local governments and communities to overcome equity and implementation challenges associated with federal disaster resources.,2023-06-14 12:00,2023-06-14 13:30,Online Event,,TRUE,https://www.climate.columbia.edu/events/beyond-federally-funded-buyouts-local-policies-tools-and-funding,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Beyond Federally-Funded Buyouts – Local Policies, Tools and Funding Streams
While federal resources are critical for providing relocation support to thousands of people living in the U.S., national policies and programs are falling short in addressing the urgency, scale, and complexity of climate-driven displacement. When it comes to buyouts and property acquisitions, accessing federal funds poses significant challenges. Restrictive requirements and lengthy bureaucratic processes can hinder local governments from developing compassionate and locally-responsive programs that prioritize community needs. To overcome these hurdles, local governments can leverage local funding sources to reduce their reliance on federal disaster dollars. By diversifying funding sources, local governments can not only expand relocation assistance beyond individual home buyouts, but also align their programs with local values and broader resilience goals.
Join us for an engaging conversation as we explore innovative approaches and tools for local governments and communities to overcome equity and implementation challenges associated with federal disaster resources. In this webinar, moderated by Urban Ocean Lab (UOL), our panel of experts, including representatives from local governments and nonprofits, will share valuable insights from their experiences on leveraging local funding sources for more just and holistic approaches to climate-driven relocation.
This virtual panel is presented by Urban Ocean Lab, in partnership with Columbia University's Climate School as part of the 2023 conference At What Point Managed Retreat?: Habitability and Mobility in an Era of Climate Change
Moderator: Erica Asinas, Policy Advisor at Urban Ocean Lab
Panelist Bios:
Brendan Shane, Climate Director at Trust for Public Land
Louise Yeung, Chief Climate Officer at the New York City Comptroller Office
Johanna Lovecchio, Associate Director of the Center for Resilient Cities and Landscapes at Columbia University
Tim Trautman, Flood Mitigation Program Manager at Charlotte-Mecklenburg County
About Urban Ocean Lab
Urban Ocean Lab is a think tank that cultivates rigorous, creative, equitable, and practical climate and ocean policy for the future of coastal cities.
Register here on Eventbrite: https://beyond-buyouts.eventbrite.com
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Climate School Events
      
                                                                                          
            events@climate.columbia.edu",,,,,,,,
Critical Minerals in Latin America,A panel discussion on accelerating sustainable copper and lithium extraction in Latin America to meet the world's demand for critical minerals.,2023-06-05 12:00,2023-06-05 14:00,"Faculty House, 64 Morningside Dr., New York, NY 10027 Presidential Ballroom",New York,TRUE,https://www.climate.columbia.edu/events/critical-minerals-latin-america,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Register on CU Events 
                      
                                                              
                        
            12:00-12:30 p.m. EDT (In-Person Reception)
12:30-2:00 p.m. EDT (In-Person & Livestream Meeting)
As the world transitions from consuming fossil fuels-based energy into low-carbon energy sources, demand for copper, lithium, nickel, and other minerals will increase for things like electric mobility, solar panels, wind turbines, and energy storage. However, the world is not on track to get these minerals at current rates. The world’s demand for lithium is projected to increase by 40 times and that for copper to potentially double by 2040 relative to 2020 levels. 
Latin America has the world’s largest deposits of both copper and lithium. Chile and Peru are the world’s leading copper producers with about 40% of global production, while Chile and Argentina account for 32% of global lithium supply. However, Latin America faces a number of social, political, environmental, and financial challenges to increase its critical minerals extraction and processing capacity. 
The Center on Global Energy Policy at Columbia University’s School of International and Public Affairs will host a panel of experts to discuss what needs to be done to accelerate sustainable copper and lithium extraction in Latin American countries. This event will focus on the challenges and opportunities that governments and industry face to turn these mineral reserves into a bridge for the energy transition globally. Light refreshments will be provided.
Panelists:
María José Baptista, Interagency and Intergovernmental Affairs Officer, United Nations Environment Programme
Juan Carlos Jobet, Distinguished Visiting Fellow at the Center on Global Energy Policy  at Columbia University SIPA; Dean, School of Business, Universidad Adolfo Ibáñez; Former Minister of Energy and Mining, Chile
Tom Moerenhout, Research Scholar, Center on Global Energy Policy at Columbia University SIPA; Adjunct Associate Professor of International and Public Affairs, Columbia University SIPA; Adjunct Assistant Professor, New York University Stern School of Business; Senior Advisor, World Bank
Moderator:
Diego Rivera Rivota, Research Associate, Center on Global Energy Policy at Columbia University SIPA
---
This event will be hosted in person in New York City and live streamed via Zoom.
Advance registration is required. Upon registration, you will receive a confirmation email. The event will be recorded and the video recording will be added to our website following the event.
This event is open to press, and registration is required to attend. For media inquiries or requests for interviews, please contact Natalie Volk (nv2388@columbia.edu).
For more information about the event, please contact energypolicyevents@columbia.edu.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Center on Global Energy Policy
      
                                                                                          
            energypolicyevents@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events",,,,,,,,
Climate Finance Solutions for Latin America,The role of Development Financial Institutions in financing mitigation and adaptation infrastructure in Latin America,2023-06-01 15:00,2023-06-01 16:30,Online Event,America/New_York,TRUE.,https://www.climate.columbia.edu/events/climate-finance-solutions-latin-america,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Climate Finance Solutions for Latin America: The role of Development Financial Institutions in financing mitigation and adaptation infrastructure in Latin America
Join us for a discussion on the trends and challenges of financing the transition in Latin America. The discussion aims to spread awareness of the relevance of DFIs in committing capital (either debt or equity) aligned with COP27.
Speakers:
Goldie Schturman, Managing Director, Latin America Investment Funds at DFC
Elizabeth Layton, Investment Management Officer, Inter American Development Bank
Moderator: Dr. Satjayit Bose (cc)
Organized by Ignacio Neri, Master of Science in Sustainability Management, Columbia University; Earth Institute SUMA Fellow
Hosted by the Columbia Environmental Entrepreneurs Association, Verdonck Partners, and the Columbia Climate School.
Please register here: https://columbiauniversity.zoom.us/webinar/register/WN_DlWOLrgDSuewYzwltPM2kw 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Ignacio Neri
      
                                                                                          
            jin2112@columbia.edu",,,,,,,,
LATIN VIBES YACHT PARTY,Join us on the Cabana Yacht for Latin Vibes on the Water! Indulge in the delectable buffet-style tacos and sip on refreshing drinks as you dance the night away to the beats of the best live music. This yacht party is perfect for any occasion or just a night out with friends. Don't miss out on the most epic party of the year!,2023-06-24 18:00,2023-06-24 22:00,"Skyport Marina Cabana Yacht, 23rd St FDR Drive, New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/sat-june-24th-summer-latin-vibes-dance-the-wave-nyc-booze-sunset-party-tickets-615269165637,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Social Society Group,https://www.eventbrite.com/o/social-society-group-58902016983,"LATIN VIBES - DANCE THE WAVE NYC BOOZE SUNSET YACHT PARTYAre you ready for a night of non-stop partying and breathtaking views of the NYC skyline? Join us on the Cabana Yacht for Latin Vibes on the Water! Indulge in the delectable buffet-style tacos and sip on refreshing drinks as you dance the night away to the beats of the best live music. This yacht party is perfect for any occasion or just a night out with friends. Don't miss out on the most epic party of the year!Your Experience Includes:2 levels of climate controlled cabins - Main Floor and Upper DeckHookah available upon requestVIP Bottle Service and Sections Available - Call/Text (929)-333-4651 and/or email thesocialsocietygroup@gmail.com for more informationWaitress Service - order drinks right to your tableFood available for purchaseLive music provided by top DJs all night long - Hip Hop, R&B, Latin Music!Large indoor dance floor and indoor seating areasEtiquette:Dress to Impress - TRENDY & COMFORTABLE No  joggers, sweats, or basketball shorts!Event Information:Location @ CABANA YACHT - 2 Levels Climate Controlled Main Floor + Upper Deck Skyport Marina Cabana Yacht 23rd Street & FDR Drive, New York, NY 10010Boarding: 5:45PM | Returning: 10:00PM21+ w/ Physical ID | Drinks | Hookah Available | Bottle Service | Dinner Menu | Live Music Birthday Celebrations | Anniversary | Graduation | Bachelor/Bachelorette | Holiday Inquiries: Call/Text: (929)-333-4651 | Email: thesocialsocietygroup@gmail.com | Visit: www.SocialSocietyGroup.com",,,,,
Peak Design: Co-working for Creative Folks NY,Tired of editing alone? Wanna get creative juices flowing? Need an excuse to put on pants and leave your apartment? Come work at the Peak Design NY Store.,2023-05-31 11:30,2023-05-31 17:00,"241 Lafayette St New York, NY 10012-4034",New York,FALSE,https://www.eventbrite.com/e/peak-design-co-working-for-creative-folks-ny-tickets-580755323807,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,Peak Design,https://www.eventbrite.com/o/peak-design-11084177896,"Tired of editing alone? Wanna get creative juices flowing? Need an excuse to put on pants and leave your apartment? Come work at the Peak Design NY Store.We're inviting local photographers and creatives to use our store as a coworking space. We've got free wifi, bottomless coffee, a big wooden table with power outlets, a clean bathroom, a friendly and knowledgable staff of pro photographers and creatives, and we're located smack-dab on the border of Soho and Nolita, where food and libations abound.Please RSVP to reserve a spot. We kindly ask that you remove your RSVP if you don't plan to come so that somebody else can nab your space. We're a store in a rad part of town, so we can't always guarantee that we'll have space for you, so please plan accordingly. About The SpaceQuite simply, it's retail space. We have big communal tables that our neato staff, rad customers and you will all use and share. This is not a quiet working space, it's meant to be a place to chat, share, learn, discuss and meet like-minded creative folks.About Us:We're Peak Design, an SF-based product design company. We specialize in carry goods: products that help you carry, organize, and manage your things. We make gear for photographers, creatives, travelers, commuters, and everyone in-between. We're proud members of Climate Neutral, 1% For The Planet, and we are 100% carbon neutral. We are also a certified B-Corp. Neat!We opened our San Francisco Flagship Store in December 2017, which was our very first physical space. Now we've opened a spanking new location in NYC and we couldn't be more stoked to share it with you. Come say hey.",,,,,
SUNSET YACHT PARTY NYC! Cabana Boat Party!,21+ Event.,2023-06-24 18:00,2023-06-24 22:00,"Skyport Marina, 2430 FDR Drive New York, NY 10010",New York,FALSE,https://www.eventbrite.com/e/sunset-yacht-party-nyc-cabana-boat-party-sat-june-24th-tickets-528417429757,,,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,,,,"SUNSET NYC YACHT PARTY!!Saturday, June 24th**6pm - 10pmThe yacht will be sailing. Boarding 5:30 pm , Sail 6pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!Limited tickets available (click tickets to buy yours!)21+ Event. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Hookah available!!NO REFUNDS. ALL SALES FINAL.",,,,,
