Event Name,Short Description,Start,End,Location,City,Relevance,Event URL,Extra1,Source CSV,organizer_link-href,full_description,Full_description
NewTechKids 2023 Thurs. Bootcamp (8-12 Yrs): June-July (5 weekly workshops),"After-school bootcamp teaching kids ages 8-12 to design, build and program robots and tech prototypes. Taught in both Dutch and English.",2023-06-22 16:30,2023-07-20 18:00,"Openbare Bibliotheek Amsterdam (OBA),Junior Lab (basement) Oosterdokskade 143 Amsterdam Netherlands",Amsterdam,FALSE.,https://www.eventbrite.co.uk/e/newtechkids-2023-thurs-bootcamp-8-12-yrs-june-july-5-weekly-workshops-tickets-612271950887,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.co.uk/o/newtechkids-7827581183,"(Bilingual camp taught in a combination of Dutch and English.)A limited number of discounted places are available for kids with a Stadspas. ***THEME: Around the World in 5 WeeksDuring this NewTechKids after-school bootcamp on Thursday afternoons, kids ages 8-12 will design, build and code a series of robots and tech prototypes which relate to different places, geographies and climates around the world. The bootcamp will take place at  the Amsterdam Public Library near Centraal Station. Kids will dive into building and visual programming using LEGO Mindstorms and art supplies. They'll learn about design concepts (resources, requirements, testing, iteration, best practices) and computer science concepts (coding, algorithms, commands, loops, sequence, iteration, if-else logic, etc.).During each class, they’ll discuss inspiring examples of technology before completing  challenges in pairs and presenting their prototypes. Classes will take place on Friday afternoons from 16:30 - 18:00 on the following dates:-  June 22, 29- July 6, 13, 20Kids are asked to bring a snack which they will consume at the the beginning of class.This bilingual camp will be taught by a native Dutch-speaking professional teacher with specialised training in computer science. The curriculum and workshops are based on NewTechKids’ pedagogy which focuses on concept-context learning and the use of tangible learning tools.Our camp is ideal for children with no previous exposure to design and computer science and those who have previously participated in NewTechKids programs.A minimum of 14 students is required to offer this camp. Registrants will be notified 3 days prior if the camp is cancelled and a full refund will be provided.Location: Openbare Bibliotheek Amsterdam, Oosterdokskade 143 in the Junior Lab basement (5-minute walk from Centraal Station)",
Photovoltaic Forum,A conference for discussing the innovations in floating PV solar,2023-06-27 00:00,2023-06-28 03:00,"Steigenberger Airport Hotel, 951 Stationsplein Zuid-West, 1117 CE Schiphol, Netherlands",Amsterdam,TRUE,https://www.eventbrite.com/e/photovoltaic-forum-tickets-643644998517,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/leadvent-group-66022594543,"Floating solar is one of the new frontiers of offshore technologies with promising growth trends. Photovoltaic Forum is gearing up to provide attendees with seminal insights for successful operations within a digitally shifted green energy landscape. 

Date & Venue: 27th - 28th June, 2023 in Amsterdam, Netherlands

Key Learning Benefits

Gain access to first-hand insights from the industry’s biggest names on what progress has been made and what opportunities lie ahead.
Join leaders from across the renewable spectrum to gear up for a clean energy future!
Get insight on the means to tackle the pressing immediate and long-term questions, with carefully selected themes and discussions guiding you through today and tomorrow’s challenges.
Prepare to interact and network with household names that will take to the stage with direction-setting insights and industry-leading analysis.
Meet our experts and professionals with the biggest names in renewables and climate policy, keen to drive debate and handle panel, round table discussions, and live fireside chats onstage.

Register now and join us as we gather these experts and leaders from Europe and the rest of the world to discuss the innovations in floating PV solar.",
Just Peace Movie Night x Hague Talks: How to achieve environmental justice?,"A film screening followed by a special Hague Talks and discussion on ecocide, environmental justice, and how Mozambique and its Chief Justice is working to secure a more just future for its people.",2023-06-05 18:00,2023-06-05 21:30,58 Fluwelen Burgwal 2511 CJ Den Haag Netherlands,The Hague,TRUE.,https://www.eventbrite.nl/e/just-peace-movie-night-x-hague-talks-how-to-achieve-environmental-justice-tickets-637984778647,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/the-hague-humanity-hub-16890919535,"Join Just Peace The Hague and Hague talks for a special joint event on environmental justice as part of Hague Justice Week As a key part of a more equitable and just future, climate justice is growing in importance across the world, and nowhere more so than in countries that are affected by climate change and rising sea levels the most.So, in collaboration with Movies that Matter, we will be screening the film Anote’s Ark by Matthieu Ritz: which tells the story of the nation of Kiribati, which is being drastically affected by climate change. The film shows the struggle of Kiribati’s president, Ton, against the backdrop of UN climate negotiations in Paris. This is dramatically strung through a telling of the personal story of Tiemeri, a mother of six who is trying everything she can to ensure that she and her family can move to safety in New Zealand.The film screening will be followed by a special Hague Talks and discussion where we will delve into the topic of ecocide, environmental justice, and how Mozambique and its Chief Justice is working to secure a more just future for its people.About the speakers: Jojo Mehta, a Co-Founder and Executive Director of Stop Ecocide International. Jojo has been at the forefront of the movement to establish ecocide as a crime at the International Criminal Court. Her extensive experience in coordinating legal developments, diplomatic traction, and public narrative, coupled with her clear and engaging communication style, make her an inspiring and knowledgeable speaker to address the pressing issue of environmental justice.Mert Kumru is an avid campaigner for World Youth for Climate Justice here in Europe. Now that climate justice is becoming a much more broadly accepted term, Mert offers us the opportunity to learn more about seeking justice for those affected by climate change.Ida Simonsen will moderate the event. Ida  is a farmer in training, agroecology activist, and Dutch UN Youth Representative on Biodiversity and Food. She is primarily active at the intersection of environmental justice, human rights and agrarian transformation with a focus on democratisation and youth participation. The event aligns with the overall theme of The Hague Justice Week 2023 , which is to promote and discuss justice and human rights on different scales. By focusing on environmental justice, the event highlights the critical role that the law plays in protecting the environment and ensuring that justice is served for both people and the planet.",
VSR Annual Conference 2023 Amsterdam,The VSR Annual Conference will be hosted by the University of Amsterdam School of Law.,2023-07-06 09:00,2023-07-07 17:30,166 Nieuwe Achtergracht 1018 WV Amsterdam Netherlands,Amsterdam,FALSE,https://www.eventbrite.com/e/vsr-annual-conference-2023-amsterdam-tickets-464242119677,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/elke-olthuis-35503294493,"OverviewThe VSR Annual Conference will be hosted by the University of Amsterdam School of Law. It will take place 6-7 July 2023 in Amsterdam.  DescriptionThe VSR, the Dutch and Flemish Law and Society association, has existed since 1980 and is an association for researchers and practicing lawyers who themselves conduct research in the field of the empirical workings of law or are interested in it. During our annual two-day conference researchers from different disciplinary backgrounds (sociologists of law, legal anthropologists, legal psychologists, public administration experts and criminologists) present their findings. See the VSR website for more details about its structure and goals.The theme for this year's Annual Conference is: The Next Generation.Society as a whole is faced with challenges on how to move further and how to ensure the next generation can thrive. Topics such as the climate crisis, migration, democratic backsliding, the role of technology are just a few of the pressing issues we are faced with. The Next Generation also means pushing boundaries, employing different approaches and creating space for junior academics and those voices in academia who do not always get the same space. All themes will be running throughout the whole conference. Our keynote speaker pushes boundaries with her approach to research, we want to connect scholars who have something to offer and those who seek help via Academic Speed Dating and create space for voices in academia who do not always get the same platform as others.There will be a conference fee to pay for food and drinks (tea and coffee, lunch and one reception with snacks included) during the conference. As a participant you can sign up for the conference dinner as well. The conference organizers will not provide or organise housing and accommodation, but we will provide some general information by email to registered participants.ProgramDuring these two days there will be four blocks with parallel sessions where papers will be presented. We are also very happy to announce our keynote speaker:Prof. Dr. Marie Rosenkrantz Lindegaard She conducts cutting-edge research in the area of criminology, AI and the use of CCTV (surveillance camera's) for observational research. Next to thought provoking and inspiring panel sessions, there will also be plenty of room to (re-)connect to fellow researchers during the coffee/tea and lunch breaks.We'll have drinks on Thursday the 6th of July on the Roeterseiland campus, followed by a 5-course walking dinner (drinks included) overlooking the beautiful city of Amsterdam. We hope you'll join us for both.A more detailed schedule will be published after the paper sessions are finalised.Call for PapersYou can submit individual papers. We will select  papers and panels that discuss theoretical or empirical research. For the individual paper you will be asked to submit the paper title and abstract (up to about 200 words). The application process will start beginning of March, 2023. We invite scholars to showcase a link to the empirical workings of the law and to the theme of the conference (the Next Generation).You can submit your abstract when you buy your ticket.If you want to submit a panel proposal please contact us at vsrannualconference2023@gmail.com BEFORE  May 1st, 2023. The deadline for submissions is May 15th, 2023.You will be informed about your submission after May 15th, 2023.We look forward to seeing you at the VSR Annual Conference 2023 in Amsterdam!Participating in the conferenceIf you want to participate in the conference without presenting a paper you can buy a ticket named ""Attending without presenting"". When you want to submit an abstract you will have to buy a ticket with the title ""Paper proposal"". There you can upload your abstract.The latest you can buy a ticket to attend the Annual Conference without presenting a paper is June 15th, 2023.If you have any further questions feel free to contact us at vsrannualconference2023@gmail.comHotel optionsHere you can find a list with hotels in the area of the conference venue we can recommend:- Hotel Arena - Hotel Casa- THe Volkshotel- The Student Hotel- Hotel V- The Generator Hostel- The Manor- NH hotel Stadhouderskade",
Ecologies of Private Law Lecture Series with Yotam Kaplan (Bar-Ilan Uni),"Lecture with Yotam Kaplan (Bar-Ilan Uni) titled, Climate Change as Unjust Enrichment",2023-07-03 15:30,2023-07-03 17:00,"Roeterseilandcampus, building A, Room A3.01 (Research Seminar Room), 11 Roetersstraat, 1018 WB, Amsterdam, Netherlands",Amsterdam,TRUE,https://www.eventbrite.nl/e/ecologies-of-private-law-lecture-series-with-yotam-kaplan-bar-ilan-uni-tickets-577266167647,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/amsterdam-centre-for-transformative-private-law-34579543183,"About the SeriesAn ecological awareness is growing in contemporary law and legal thought. This is paving the way for a new legal paradigm that underscores both the inherent interconnectedness of modern society and the blurring boundaries between humans and non-humans.O﻿ur annual theme for 2022-2023 lecture series examines the place and role of private law within this emerging legal paradigm. Through a sequence of lectures focused on key private law institutions and practices, we seek to identify, understand, and assess how private law interacts with its diverse ecosystems and contributes to shaping socio-economic and political relations among (non) humans within these ecosystems, in the context of shifting normative expectations and social needs.P﻿racticalities﻿This lecture will be hybrid, in REC A3.01 and online via zoom. If you wish to attend in person, please email act-fdr@uva.nl.If you wish to attend online, please select the zoom link add on when reserving a spot. You will then receive the zoom link details at the bottom of the confirmation email. D﻿rinks and snacks will follow in REC. A3.16",
Monday Night Live!,International Stand-up Comedy in English. Best place to be on a Monday.,2023-05-29 19:30,2023-05-29 22:00,"Micro brewery. Brouwerij De Prael, 26 Oudezijds Armsteeg 1012 GP Amsterdam Netherlands",Amsterdam,FALSE,https://www.eventbrite.nl/e/monday-night-live-tickets-483528505777,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/kb-comedy-amp-comeback-comedy-club-30674569380,"Laughs and Crafts: A night of Beers and Comedy - in English.Every other Monday.  Doors open at 730pm  Show from 8pmCome early for dinner and stay for the show. Buy Crafts and Laughs and save on a flight of beer.General Admission €10 or €15 at the door. Grab your tickets before it’s too late. Comeback Comedy and KB Comedy present the best of the Dutch comedy scene and beyond.with MC Kendra Borgen (US/NL) was born into a Reagan-era hunter-gatherer society in Alaska, Kendra started playing saxophone at age 8 inspired by the musical stylings of Lisa Simpson. After surviving the treacherous journey down the infamous Alaskan-Canadian hi-way she studied Music at the University of Oregon finally leaving the US in 2004 in search of a better life (and an affordable Master’s degree). She bought a one-way ticket to Amsterdam, never looked back and has been entertaining folks in Amsterdam ever since. Come listen to Kendra’s journey from the hilariously rugged outback of Alaska to the chaos of Amsterdam’s canals.M﻿ay 29th  Headliner Hermes Ahmadi (NL) decided to nosedive into comedy a bit over four years ago and immediately entered the finals of small festivals in the Netherlands!He quickly toured around the Netherlands and picked up shows in neighbouring Belgium and Germany as well. From clubs, to pubs to theaters, if there's a stage, a stool and a mic (and a bar), Hermes will be there!Meanwhile, he developed his own brand of comedy, combining personal stories with absurd thoughts and sometimes wholesome, sometimes scalding observations about our best and worst habits. His material varies from cheese to driving, from climate change to the end of the world! In 2022, he started touring with his very first solo show named ""You might be here"", about his life in Afghanistan in war and peace, his journey to the Netherlands and the weird Western European culture he grew up in.Daniel Yazbek (SA) is a South African comedian based in Amsterdam - his comfortable stage presence allows him to poke fun at his audiences and himself.“He is technically African, so we booked him” - BookersAnna Mac (IR) An Irish comedian in Amsterdam, Anna Mac has been described by her mother as ""big boned and hardy handsome"" and you'll describe her as ""the Irish one"". She's played to audiences all over the Netherlands, Europe and one very quiet audience in New York.Dikran Kassabian (SY) is a Syrian Dutch comedian who is relatively new to the scene. He uses comedy as a powerful tool to transcend cultural boundaries, drawing from personal experiences and the challenges of rebuilding a life in the Netherlands. Dikran skillfully mixes poignant anecdotes and observations to shed light on the delightful idiosyncrasies of both cultures, offering a unique perspective that deeply resonates with audiences” J﻿une 12th  Headliner Fedor Ikelaar (NL) was born in Amsterdam, raised in France and lived in half a dozen countries. Which reflects on stage as he takes you on a laughter-filled, insane journey across the globe. With his unique perspective he manages to make his fumbling abroad in exotic places highly relatable and enjoyable.Fedor has performed in over 35 countries, appeared at a long list of international comedy festivals, and was featured on the BBC. When he isn’t doing comedy he is working with animals shelters in The Netherlands, Bulgaria and Ukraine.Zuva Maartens (NL) is a half Zimbabwean, half Dutch comedian with a sharp wit hidden in his afro. He has written for BBC TWO’s Mock the Week panelist Ria Lina, and has become an established name in European comedy scene.K﻿atie Compa (US) developed a biting sense of humor as a defense mechanism growing up an ugly duckling outside Washington, DC, and uses it to write and perform stand up comedy.Katie cut her teeth in the Bay Area comedy scene and is based in New York City. Her debut album HARD PASS came out in September 2019 and hit #1 on the iTunes Comedy Chart. She has been featured in the San Francisco SketchFest and (don’t tell her mom) on HighTimes.com.Equal parts sassy, smart, and sarcastic, Katie cracks up audiences worldwide.Candace Gawler (SA) works in finance, not so smart, can't excel. Vaguely unhinged and prone to casting spells. Aspiring house wife.J﻿une 26th MC Rachel Morton-Young (UK) Headliner Kendra Borgen (US/NL) was born into a Reagan-era hunter-gatherer society in Alaska, Kendra started playing saxophone at age 8 inspired by the musical stylings of Lisa Simpson. After surviving the treacherous journey down the infamous Alaskan-Canadian hi-way she studied Music at the University of Oregon finally leaving the US in 2004 in search of a better life (and an affordable Master’s degree). She bought a one-way ticket to Amsterdam, never looked back and has been entertaining folks in Amsterdam ever since. Come listen to Kendra’s journey from the hilariously rugged outback of Alaska to the chaos of Amsterdam’s canals.Dominik Dabrowski (CZ) With both Czech and Polish roots, Dominik is a wholesome product of the Eastern European school of thought that classics (Dominik) have described as nihilistic optimism. It says that yes, everything is going to hell, but it’s so bad, it is kinda funny, isn’t it? So come see him perform, because every tragedy deserves a punchline.J﻿uly 7th  - 830pmSpecial edition Netflix's April Macie!",
NICAS Project Day 2023,"NICAS will host a full day of inspiration and research projects at the intersection of science, conservation and art history",2023-06-13 13:00,2023-06-13 17:30,"Rijksmuseum,1 Museumstraat 1071 XX Amsterdam Netherlands",Amsterdam,FALSE,https://www.eventbrite.com/e/nicas-project-day-2023-tickets-596882310057,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/netherlands-institute-for-conservation-art-science-45616343743,"► Please note this is an onsite event, it is not possible to attend online. ► Although this event is free to attend, it is not free to organise. If you register we count on your attendance. If you find that you are no longer able to attend, we kindly request that you unregister using the same registration link as soon as possible. Preliminary Programme12.30 - 13.00 Walk in13.00 - 13.15 Welcome► Dr. Robert van Langh (Chair of NICAS)13.15 - 14.30 Project Presentations► Dr. Margriet van Eikema Hommes (RCE) - Study of the Materials and Techniques of Matthias Withoos' View of Amserfoort► Amin Livani MSc (TU/e) - Hygro-Mechanical Response of Oak Growth Rings to Varying Indoor Climate Conditions: A Combined Numerical and Experimental Study► Gauthier Patin MA (RCE) - Fading Observations and Risk Assessment of Colour Change in Van Gogh's Works► Prof. dr.  Joost Batenburg (CWI, Leiden University), Prof. dr. Robert van Liere (CWI, TU/e), Francien Bossema MSc (CWI, Rijksmuseum) - IMPACT4Art: 3D Visualization of the Interior of Art Objects Through CT Scans► Welmoed Kreb MSc - POPE: Resin Bleed14.30 - 15.00 Coffee Break15.00 - 16.30 Keynote Speakers► Prof. dr. Rob Erdmann (Rijksmuseum, UVA) - tba► Prof. dr. Jeroen Stumpel (UU) - tba16.20 - 16.30 Closing Remarks► Dr. Benjamin Rous (Coordinator NICAS) 16.30 - 17.30 Drinks",
IMAGINARY MATH EXHIBITION,A math exhibition in Amsterdam,2023-09-11 09:00,2023-09-12 18:00,MACA Amsterdam,Amsterdam,FALSE,https://www.eventbrite.com/e/imaginary-math-exhibition-tickets-633174410707,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/maca-amsterdam-62208904283,"Math Exhibition IMAGINARY is coming to town!From May 8 to May 26 the interactive math exhibition Imaginary will be hosted at MACA, co-organised by the Universiteit van Amsterdam and VU Amsterdam. Math enthusiasts of all ages and levels are welcome to visit!The exhibition is open from May 8th, 2023 till May 26th, 2023, Monday to Friday from 9am-5pm. The exhibition will be closed on May 18th and 19th.Various extra activities will take place during the exhibition which can be seen below, under  ""full progam"". No registration is needed. For example, come and celebrate with us the International Women in Mathematics Day on May 12, or learn how comics can be used to talk about science, or discover how to use mathematics to predict extreme climate events, and much more.Reserve the dates in your calendar and bring your friends and families to experience the ""Beauty and Power of Mathematics"" at Imaginary!Lectures will be in Dutch, except for the Official opening on the 12th of May!F﻿ull Program:May 101pm-4pm, Workshop: Folding afternoon with the Origami Society Netherlands4pm-5pm: Origami and the Mathematics of Folding - talk by Guda van Rijn and Henk van der VorstMay 12 - International Women in Maths Day2pm-3pm: Official opening by Eric Opdam (UvA) and Mathisca de Gunst (VU)3pm-4pm: The work of Fields medallist Maryna ViasowskaLehmer's Dance: performance by Roos van Berkel and talk by Tom Verhoeff4pm-5pm: Using Comics to Explain Scientific Concepts - talk by Claudia Flandoli, illustratorMay 174pm-5pm: Symmetry in Maths and Art - talk by Raf Bocklandt and Rinus RoelofsMay 254pm-5pm: Dynamical Systems and the Climate - talk by Chris Bick (VU Mathematics, go Chris!) and Tamara Happé",
SenseDrink,"Sustainability Friday is a recurring event where we discuss, connect and bring inspiration to each other",2023-06-23 19:00,2023-06-23 21:00,"Vrije Universiteit Amsterdam, 1105 De Boelelaan 1081 HV Amsterdam Netherlands",Amsterdam,TRUE,https://www.eventbrite.co.nz/e/sensedrink-tickets-125233014317,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.co.nz/o/makesense-nl-30303038744,"Sustainability Friday is a recurring event where we discuss, connect and bring inspiration to each other :)In person we will meet at the entrance of the main building of the VU( the tallest one) - the entrance is facing de Boelelaan street (see the pin on the map below). I'll have a green folder with me. If you cannot find us call me at +31615466090*** IMPORTANT UPDATE ***Because of recent problems regarding attendance we have decided to implement the following rules:If you subscribe to the event that means that you commit to attending. In case you cannot attend please let us know at least 1 day before the event via whatsapp/call/sms on +31615466090 or via email (makesensenl@gmail.com). Out of respect for the other participants and also for the organizers this rule is very important.Also you have to commit to the choice you make of whether you will attend online or in person. In the situation when you will not or cannot fulfill these requirements, also failing to provide us with a prior notification for the second time you get removed from the group and also you forfeit your right to join future events for 6 months. Of course there are emergencies, unexpended problems that arise for anyone but these problems arise please do contact us at the number mentioned above if you can no longer attend.Thank you for understanding and hope to see you at our event !Every Month you are invited to our Sustainability Friday !!!During our discussions you can get inspired and exchange ideas with like minded people, network and many times learn of new ideas, projects, etcMost of our discussions revolve around one or several of the UN's Sustainable Development Goals ( SDGs) and specifically many times about Climate change where we many times do a sort of AMA (ask me anything) about Climate science - modern climate vs ancient(Paleo) climate.We also tackle many times the issue regarding the global evolution towards clean energy and the possible impacts of the significant changes that occurred in the last years, sort of sustainability news. Hopefully our speaker, if any, will have what to say about that as well ;-)We are always open for anything you want to bring forward, as long as it is inline with making sense & making our planet a better place to live on. Come and try your workshop, show us something cool you have created, anything you like, just contact us and we'll see how we can accommodate you.Agenda for the event:19:00 Walk in(connecting) and get comfortable19:10 Check-in and a short presentation and updates from makesense19:20 Short introduction about the interests of every participant and here each attendee can propose a discussion topic. If we have too many topics we will take a vote to decide which topic to discuss.19:40 We'll start with a few sustainability news or a short presentation on a specific topic20:00 Let's start discussing about the chosen topic !20:45 closing and check-out :)21:00 We can also stay longer if anyone wants to continue the discussion (we often do this and it's fun but it's not a requirement, of course)And if you have ideas or topics that you would like us to address in our events - let's discuss these together - we are open to new events proposals.In fact if any of you are interested, any of you can prepare a 10-20 minute talk/presentation on any given topic ranging from SDGs (Sustainable Development Goals) to basically any topic that you think is worth discussing when we think of how to make our planet a bit better. And also at the beginning of the event we will invite everyone to propose discussion topics and then if there are more than 2 we will take a vote as to which topic to discuss.Thank you for your interest :)This week, the event will be hybrid - both in person and online in order to accommodate both options. If you cannot find us or if you need help in connecting, contact us at +31615466090 (Dragos).For the online platform, we will connect at this link:https://meet.jit.si/Makesense_Amsterdam_meetupMake sure you check your email for any updates before the event. Thanks !Hope to see you there !!!",
Plants & Pancakes - Kaskantine Introduction day,"Join us for a relaxing Sunday to enjoy some vegan pancakes, seedlings, tours, workshops",2023-05-28 10:00,2023-05-28 14:00,"De KasKantine, 1 Handbalstraat, 1062 XK, Amsterdam, Netherlands",Amsterdam,TRUE.,https://www.eventbrite.nl/e/tickets-plants-pancakes-kaskantine-introduction-day-628665053097,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/de-kaskantine-32000283873,"Welcome to Kaskantine's introduction event! Join us for a relaxing Sunday to enjoy some vegan pancakes, get to know the place, and be a part of the first open day of the Kaskantine at this location.Our opening events offer an opportunity to explore the space and participate in various activities. Through our introductory tours and workshops, you can get to know the place and learn about community-based climate solutions in the city.We will offer short, interactive workshops:	Composting methods	How to build something out of scrap wood for your balcony garden	How to seed and transplant seedlingsWe also have a plant nursery where you can buy vegetable seedlings!Our space is dedicated to creating a learning community for city dwellers who want to live sustainably and take action against climate change. We are excited to open our doors and showcase our new self-built, off-grid space.You can arrive at any time, but if you want to participate in a tour or workshop, we have scheduled them for 11:00 am and 1:00 pm.",
Sustainability Friday,A recurring event where like-minded participants discuss and exchange ideas on sustainable development goals and climate change,2023-06-02 19:00,2023-06-02 21:00,Vrije Universiteit Amsterdam,Amsterdam,TRUE,https://www.eventbrite.co.nz/e/sustainability-friday-tickets-502638745017,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.co.nz/o/makesense-nl-30303038744,"Sustainability Friday is a recurring event where we discuss, connect and bring inspiration to each other :)In person we will meet at the entrance of the main building of the VU( the tallest one) - the entrance is facing de Boelelaan street (see the pin on the map below). I'll have a green folder with me. If you cannot find us call me at +31615466090*** IMPORTANT UPDATE ***Because of recent problems regarding attendance we have decided to implement the following rules:If you subscribe to the event that means that you commit to attending. In case you cannot attend please let us know at least 1 day before the event via whatsapp/call/sms on +31615466090 or via email (makesensenl@gmail.com). Out of respect for the other participants and also for the organizers this rule is very important.Also you have to commit to the choice you make of whether you will attend online or in person. In the situation when you will not or cannot fulfill these requirements, also failing to provide us with a prior notification for the second time you get removed from the group and also you forfeit your right to join future events for 6 months. Of course there are emergencies, unexpended problems that arise for anyone but these problems arise please do contact us at the number mentioned above if you can no longer attend.Thank you for understanding and hope to see you at our event !Every Month you are invited to our Sustainability Friday !!!During our discussions you can get inspired and exchange ideas with like minded people, network and many times learn of new ideas, projects, etcMost of our discussions revolve around one or several of the UN's Sustainable Development Goals ( SDGs) and specifically many times about Climate change where we many times do a sort of AMA (ask me anything) about Climate science - modern climate vs ancient(Paleo) climate.We also tackle many times the issue regarding the global evolution towards clean energy and the possible impacts of the significant changes that occurred in the last years, sort of sustainability news. Hopefully our speaker, if any, will have what to say about that as well ;-)We are always open for anything you want to bring forward, as long as it is inline with making sense & making our planet a better place to live on. Come and try your workshop, show us something cool you have created, anything you like, just contact us and we'll see how we can accommodate you.Agenda for the event:19:00 Walk in(connecting) and get comfortable19:10 Check-in and a short presentation and updates from makesense19:20 Short introduction about the interests of every participant and here each attendee can propose a discussion topic. If we have too many topics we will take a vote to decide which topic to discuss.19:40 We'll start with a few sustainability news or a short presentation on a specific topic20:00 Let's start discussing about the chosen topic !20:45 closing and check-out :)21:00 We can also stay longer if anyone wants to continue the discussion (we often do this and it's fun but it's not a requirement, of course)And if you have ideas or topics that you would like us to address in our events - let's discuss these together - we are open to new events proposals.In fact if any of you are interested, any of you can prepare a 10-20 minute talk/presentation on any given topic ranging from SDGs (Sustainable Development Goals) to basically any topic that you think is worth discussing when we think of how to make our planet a bit better. And also at the beginning of the event we will invite everyone to propose discussion topics and then if there are more than 2 we will take a vote as to which topic to discuss.Thank you for your interest :)This week, the event will be hybrid - both in person and online in order to accommodate both options. If you cannot find us or if you need help in connecting, contact us at +31615466090 (Dragos).For the online platform, we will connect at this link:https://meet.jit.si/Makesense_Amsterdam_meetupMake sure you check your email for any updates before the event. Thanks !Hope to see you there !!!",
"Amsterdam - People, Planet, Pint: Sustainability Meetup","Come and meet others interested in the Net Zero, Bcorp and Environmental space!",2023-06-07 17:30,2023-06-07 22:00,"Café-Bar Waterlooplein 77, Rapenburgerstraat 169, 1011 VM Amsterdam, Netherlands",Amsterdam,TRUE,https://www.eventbrite.co.uk/e/amsterdam-people-planet-pint-sustainability-meetup-tickets-624275503837,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.co.uk/o/small99-32771843245,"Whether you're a sustainability professional, small business owner, local council/government worker, student, consultant, looking to switch careers, or anything else besides, come down and meet others interested in sustainability. No agenda, workshops or webinars. Just chat over some nibbles and beers.Started in Glasgow during COP26, this relaxed event brings together those with a shared passion for sustainability in all its forms.We meet monthly to chat about what's going on in the Net Zero / Sustainability space, ""network"" and meet others who are interested in the industry. Let's see where the conversation, and night, takes us!Chat with other industry experts and talk directly to business owners facing the challenges you're trying to solve.Find others who can collaborate and help you on your journey and have fun doing so!Your Volunteer HostsLuke JamesI'm Head of Growth at The Green Branch. We develop land restoration and reforestation projects in Brazil. I oversee creating revenue streams to finance our projects and scale our ecosystem restoration efforts. When I'm not banging on about nature based solutions - I enjoy hiking, skateboarding and watching Newcastle United. You can follow the Green Branch on LinkedIn.Jochem Tijssen I am a Business Development Lead at The Green Branch. I support companies on their sustainable journey and try to motivate them to invest in nature-based solutions to restore our ecosystems! I am an active person who loves the outdoors, football (Come On You Spurs!) and callisthenics - but I definitely like to take it easy as well.Our Sponsor KRYSTAL are an award-winning, 100% green web hosting provider,  with datacentres in the UK, US, & Europe. They are climate positive, and their approach centres on value, quality and transparency. We are delighted to announce our partnership with Krystal (the UK's only B Corp web hosting/cloud provider), and welcome them on board as sponsors  of the People, Planet, Pint events. This means the first 33 drinks are on Krystal at every event, and has allowed us to invest and upscale the series to accelerate action on climate change.About UsSmall99 is a platform that guides small business owners to Net Zero and avoids the overwhelm. Small99 organises the PPP events, with the belief that bringing people together will spark unexpected solutions to collaboration in tackling climate change.Simon Blackler is the founder and CEO of KRYSTAL, and Co-Founder of MillionTreePledge.",
